p,q,g,m,w,alpha,L_size,unique,C,ce_class
3587359,3587393,34,4,3587383,24,1,True,114,long_unique_m4
7441927,7441961,34,4,7441943,16,1,True,126,long_unique_m4
4892369,4892401,32,4,4892395,26,1,True,119,long_unique_m4
1825459,1825489,30,4,1825471,12,1,True,104,long_unique_m4
3400963,3400993,30,4,3400977,14,1,True,114,long_unique_m4
3898421,3898451,30,4,3898429,8,1,True,116,long_unique_m4
4552363,4552393,30,4,4552391,28,1,True,118,long_unique_m4
4724771,4724801,30,4,4724777,6,1,True,119,long_unique_m4
5123399,5123429,30,4,5123413,14,1,True,120,long_unique_m4
5204413,5204443,30,4,5204434,21,1,True,120,long_unique_m4
6262903,6262933,30,4,6262913,10,1,True,123,long_unique_m4
6663617,6663647,30,4,6663641,24,1,True,124,long_unique_m4
8339909,8339939,30,4,8339927,18,1,True,127,long_unique_m4
8516957,8516987,30,4,8516977,20,1,True,128,long_unique_m4
8941663,8941693,30,4,8941679,16,1,True,129,long_unique_m4
9816451,9816481,30,4,9816473,22,1,True,130,long_unique_m4
3313603,3313631,28,4,3313607,4,1,True,113,long_unique_m4
3822823,3822851,28,4,3822829,6,1,True,115,long_unique_m4
4418389,4418417,28,4,4418399,10,1,True,118,long_unique_m4
4472563,4472591,28,4,4472579,16,1,True,118,long_unique_m4
4978081,4978109,28,4,4978087,6,1,True,119,long_unique_m4
5351551,5351579,28,4,5351557,6,1,True,121,long_unique_m4
5449021,5449049,28,4,5449033,12,1,True,121,long_unique_m4
5613259,5613287,28,4,5613271,12,1,True,121,long_unique_m4
6032503,6032531,28,4,6032527,24,1,True,122,long_unique_m4
6197311,6197339,28,4,6197317,6,1,True,123,long_unique_m4
6657283,6657311,28,4,6657307,24,1,True,124,long_unique_m4
6682693,6682721,28,4,6682697,4,1,True,124,long_unique_m4
6687589,6687617,28,4,6687607,18,1,True,124,long_unique_m4
6931069,6931097,28,4,6931077,8,1,True,125,long_unique_m4
7111303,7111331,28,4,7111319,16,1,True,125,long_unique_m4
7136221,7136249,28,4,7136247,26,1,True,125,long_unique_m4
7169131,7169159,28,4,7169143,12,1,True,125,long_unique_m4
7930093,7930121,28,4,7930115,22,1,True,127,long_unique_m4
8124073,8124101,28,4,8124091,18,1,True,127,long_unique_m4
8731951,8731979,28,4,8731969,18,1,True,128,long_unique_m4
9133309,9133337,28,4,9133321,12,1,True,129,long_unique_m4
9683983,9684011,28,4,9684007,24,1,True,130,long_unique_m4
9891823,9891851,28,4,9891841,18,1,True,130,long_unique_m4
1659041,1659067,26,4,1659043,2,1,True,103,long_unique_m4
