offset,sigma,solved,method,witness,seconds
81,587,0,,,16.877758
159,587,0,,,19.563622
217,587,0,,,19.465374
247,587,0,,,19.526178
307,587,0,,,19.629986
471,587,0,,,20.355373
487,587,0,,,19.053358
1053,587,0,,,19.770422
81,593,0,,,17.271117
159,593,0,,,19.325306
217,593,0,,,18.840759
247,593,0,,,18.876052
307,593,0,,,19.198151
471,593,0,,,18.746521
487,593,0,,,18.993709
1053,593,0,,,18.287641
81,599,0,,,16.990705
159,599,0,,,19.198340
217,599,0,,,19.886610
247,599,0,,,18.934316
307,599,0,,,19.088056
471,599,0,,,18.772452
487,599,0,,,19.558000
1053,599,0,,,19.216593
81,601,0,,,17.566361
159,601,0,,,18.093608
217,601,0,,,19.810986
247,601,0,,,19.537146
307,601,0,,,19.434446
471,601,0,,,19.595543
487,601,0,,,19.681256
1053,601,0,,,19.365691
81,607,0,,,16.719637
159,607,0,,,18.403364
217,607,0,,,18.894459
247,607,0,,,18.624500
307,607,0,,,19.021695
471,607,0,,,18.824124
487,607,0,,,18.820015
1053,607,0,,,18.412804
81,613,0,,,16.860409
159,613,0,,,18.652921
217,613,0,,,18.165938
247,613,0,,,18.962021
307,613,0,,,18.484326
471,613,0,,,18.222343
487,613,0,,,18.403341
1053,613,0,,,18.809836
81,617,0,,,16.034502
159,617,0,,,18.611684
217,617,0,,,18.481392
247,617,0,,,18.952651
307,617,0,,,18.302938
471,617,0,,,18.899155
487,617,0,,,18.656265
1053,617,0,,,18.885183
81,619,0,,,16.582007
159,619,0,,,19.256125
217,619,0,,,19.058951
247,619,0,,,18.038785
307,619,0,,,18.443421
471,619,0,,,18.030335
487,619,0,,,19.190863
1053,619,0,,,19.094149
81,631,0,,,16.986747
159,631,0,,,17.878313
217,631,0,,,17.992021
247,631,0,,,19.237101
307,631,0,,,19.199463
471,631,0,,,16.152849
487,631,0,,,17.905381
1053,631,0,,,18.602781
81,641,0,,,18.028004
159,641,0,,,16.566404
217,641,0,,,19.905210
247,641,0,,,19.506603
307,641,0,,,19.668728
471,641,0,,,18.810831
487,641,0,,,20.339250
1053,641,0,,,19.424934
81,643,0,,,19.619090
159,643,0,,,19.052062
217,643,0,,,21.248700
247,643,0,,,21.079182
307,643,0,,,21.597401
471,643,0,,,22.010589
487,643,0,,,20.569267
1053,643,0,,,20.574317
81,647,0,,,20.718553
159,647,0,,,17.507755
217,647,0,,,18.851596
247,647,0,,,18.545186
307,647,0,,,17.974181
471,647,0,,,19.243756
487,647,0,,,19.079526
1053,647,0,,,18.231229
81,653,0,,,18.713332
159,653,0,,,15.220832
217,653,0,,,16.717866
247,653,0,,,16.644579
307,653,0,,,16.399245
471,653,0,,,16.478477
487,653,0,,,16.234272
1053,653,0,,,16.332710
