offset,sigma,solved,method,witness,seconds
81,757,0,,,32.067700
159,757,0,,,35.002612
217,757,0,,,34.589404
247,757,0,,,33.991861
307,757,0,,,34.083618
471,757,0,,,35.288380
487,757,0,,,34.218398
1053,757,0,,,34.740779
81,761,0,,,34.613274
159,761,0,,,35.208882
217,761,0,,,33.898174
247,761,0,,,34.638514
307,761,0,,,35.613960
471,761,0,,,33.725269
487,761,0,,,33.211555
1053,761,0,,,33.818174
81,769,0,,,33.973060
159,769,0,,,33.496640
217,769,0,,,36.173352
247,769,0,,,33.704739
307,769,0,,,34.010877
471,769,0,,,34.490623
487,769,0,,,33.644716
1053,769,0,,,34.612500
81,773,0,,,34.863271
159,773,0,,,33.295054
217,773,0,,,34.964601
247,773,0,,,34.211424
307,773,0,,,33.470025
471,773,0,,,34.445837
487,773,0,,,35.558457
1053,773,0,,,32.608403
81,787,0,,,53.274463
159,787,0,,,52.113877
217,787,0,,,52.706809
247,787,0,,,52.784875
307,787,0,,,52.460853
471,787,0,,,54.026619
487,787,0,,,52.512550
1053,787,0,,,53.651650
81,797,0,,,47.634382
159,797,0,,,46.637209
217,797,0,,,45.949932
247,797,0,,,46.350942
307,797,0,,,46.513539
471,797,0,,,44.857880
487,797,0,,,45.101484
1053,797,0,,,45.311935
81,809,0,,,34.968196
159,809,0,,,32.953536
217,809,0,,,34.795483
247,809,0,,,34.838455
307,809,0,,,34.358293
471,809,0,,,34.257792
487,809,0,,,33.372722
1053,809,0,,,34.467123
81,811,0,,,33.966088
159,811,0,,,35.243563
217,811,0,,,34.393324
247,811,0,,,32.072663
307,811,0,,,34.576717
471,811,0,,,33.908809
487,811,0,,,34.866356
1053,811,0,,,33.040459
81,821,0,,,34.126071
159,821,0,,,34.879210
217,821,0,,,34.096800
247,821,0,,,33.958146
307,821,0,,,34.456014
471,821,0,,,34.147929
487,821,0,,,34.271424
1053,821,0,,,34.201722
81,823,0,,,33.515741
159,823,0,,,33.762264
217,823,0,,,34.674871
247,823,0,,,34.629200
307,823,0,,,35.143477
471,823,0,,,35.325320
487,823,0,,,33.479815
1053,823,0,,,33.226190
81,827,0,,,33.487281
159,827,0,,,34.607302
217,827,0,,,34.449486
247,827,0,,,34.616011
307,827,0,,,34.770915
471,827,0,,,34.023875
487,827,0,,,34.569151
1053,827,0,,,35.501417
81,829,0,,,34.802528
159,829,0,,,34.534202
217,829,0,,,33.873715
247,829,0,,,33.365739
307,829,0,,,35.668715
471,829,0,,,34.198583
487,829,0,,,33.915973
1053,829,0,,,34.033716
81,839,0,,,35.077169
159,839,0,,,33.771027
217,839,0,,,33.398875
247,839,0,,,33.390322
307,839,0,,,33.928738
471,839,0,,,34.122060
487,839,0,,,35.351804
1053,839,0,,,33.502560
81,853,0,,,34.368943
159,853,0,,,34.471603
217,853,0,,,34.347848
247,853,0,,,34.473576
307,853,0,,,36.074732
471,853,0,,,34.741376
487,853,0,,,34.124942
1053,853,0,,,33.438304
81,857,0,,,34.696364
159,857,0,,,34.916107
217,857,0,,,33.299988
247,857,0,,,35.664162
307,857,0,,,34.191468
471,857,0,,,34.139442
487,857,0,,,34.797396
1053,857,0,,,35.348204
81,859,0,,,33.504400
159,859,0,,,33.352080
217,859,0,,,33.685855
247,859,0,,,35.543653
307,859,0,,,36.066088
471,859,0,,,34.269813
487,859,0,,,33.958473
1053,859,0,,,34.653869
81,863,0,,,34.487239
159,863,0,,,33.995670
217,863,0,,,36.075313
