offset,sigma,solved,method,witness,seconds
81,11,0,,,8.416951
159,11,0,,,8.211788
217,11,0,,,7.841088
247,11,0,,,8.701374
307,11,0,,,8.744545
471,11,0,,,8.233097
487,11,0,,,7.764987
1053,11,0,,,7.967028
81,13,0,,,8.461475
159,13,0,,,8.857765
217,13,0,,,8.222610
247,13,0,,,8.329404
307,13,0,,,9.277105
471,13,0,,,8.970316
487,13,0,,,8.881913
1053,13,0,,,8.577883
81,17,0,,,8.462677
159,17,0,,,8.302146
217,17,0,,,8.151218
247,17,0,,,8.192109
307,17,0,,,8.627390
471,17,0,,,8.061253
487,17,0,,,8.868465
1053,17,0,,,7.926083
81,19,0,,,8.121710
159,19,0,,,8.388978
217,19,0,,,8.554884
247,19,0,,,7.855224
307,19,0,,,8.228227
471,19,0,,,8.090184
487,19,0,,,8.766466
1053,19,0,,,8.769727
81,23,0,,,8.455869
159,23,0,,,8.668102
217,23,0,,,8.372913
247,23,0,,,8.411478
307,23,0,,,8.175947
471,23,0,,,8.580916
487,23,0,,,8.014000
1053,23,0,,,7.901976
81,29,0,,,8.176362
159,29,0,,,8.526787
217,29,0,,,8.234801
247,29,0,,,7.734285
307,29,0,,,8.130837
471,29,0,,,7.662014
487,29,0,,,8.249781
1053,29,0,,,8.196796
81,31,0,,,8.972433
159,31,0,,,8.451464
217,31,0,,,8.986408
247,31,0,,,8.535400
307,31,0,,,8.663892
471,31,0,,,8.849034
487,31,0,,,8.198556
1053,31,0,,,8.462487
81,37,0,,,7.963126
159,37,0,,,8.513119
217,37,0,,,8.283599
247,37,0,,,9.019976
307,37,0,,,8.484465
471,37,0,,,8.281094
487,37,0,,,8.424679
1053,37,0,,,8.632808
81,41,0,,,8.802026
159,41,0,,,8.755788
217,41,0,,,8.223672
247,41,0,,,8.868798
307,41,0,,,8.464662
471,41,0,,,8.182796
487,41,0,,,8.315976
1053,41,0,,,8.696240
81,43,0,,,8.470499
159,43,0,,,8.440821
217,43,0,,,8.711143
247,43,0,,,8.434322
