offset,sigma,solved,method,witness,seconds
81,757,0,,,68.237428
159,757,0,,,69.709146
217,757,0,,,66.594447
247,757,0,,,67.219296
307,757,0,,,66.722886
471,757,0,,,66.562002
487,757,0,,,66.429541
1053,757,0,,,66.561558
81,761,0,,,65.528715
159,761,0,,,67.323669
217,761,0,,,69.262360
247,761,0,,,67.908791
307,761,0,,,68.643035
471,761,0,,,67.816505
487,761,0,,,67.540516
1053,761,0,,,66.760950
81,769,0,,,67.296741
159,769,0,,,69.041767
217,769,0,,,67.287585
247,769,0,,,66.736667
307,769,0,,,68.102221
471,769,0,,,68.422706
487,769,0,,,68.649954
1053,769,0,,,68.597636
81,773,0,,,69.073551
159,773,0,,,68.483475
217,773,0,,,68.147952
247,773,0,,,68.824085
307,773,0,,,66.449998
471,773,0,,,66.103681
487,773,0,,,69.997221
1053,773,0,,,66.910080
81,787,0,,,66.457474
159,787,0,,,67.128417
217,787,0,,,68.084187
247,787,0,,,66.766260
307,787,0,,,64.595765
471,787,0,,,66.358524
487,787,0,,,66.228170
1053,787,0,,,65.495617
81,797,0,,,68.626839
159,797,0,,,70.091546
217,797,0,,,71.113003
247,797,0,,,69.013487
307,797,0,,,70.349213
471,797,0,,,70.369142
487,797,0,,,70.986193
1053,797,0,,,71.040639
81,809,0,,,77.292725
159,809,0,,,74.170159
217,809,0,,,74.963300
247,809,0,,,74.461256
307,809,0,,,73.760771
471,809,0,,,74.643327
487,809,0,,,73.661380
1053,809,0,,,74.749721
81,811,0,,,79.448797
159,811,0,,,76.776062
217,811,0,,,77.701884
247,811,0,,,77.774998
307,811,0,,,77.517893
471,811,0,,,78.236388
487,811,0,,,78.329305
1053,811,0,,,78.924188
