offset,sigma,solved,method,witness,seconds
81,757,0,,,7.547394
159,757,0,,,6.879104
217,757,0,,,7.367517
247,757,0,,,7.397786
307,757,0,,,7.342400
471,757,0,,,7.808490
487,757,0,,,7.531184
1053,757,0,,,7.096263
81,761,0,,,7.498908
159,761,0,,,6.453615
217,761,0,,,7.461515
247,761,0,,,7.646082
307,761,0,,,7.343415
471,761,0,,,7.299033
487,761,0,,,6.875393
1053,761,0,,,7.430369
81,769,0,,,7.376169
159,769,0,,,7.593983
217,769,0,,,6.784626
247,769,0,,,6.504039
307,769,0,,,7.170744
471,769,0,,,7.433501
487,769,0,,,7.066991
1053,769,0,,,6.708062
81,773,0,,,7.210193
159,773,0,,,7.125543
217,773,0,,,7.536131
247,773,0,,,7.402201
307,773,0,,,7.460083
471,773,0,,,6.458354
487,773,0,,,7.449451
1053,773,0,,,7.171813
81,787,0,,,7.265888
159,787,0,,,7.535672
217,787,0,,,7.593761
247,787,0,,,7.266043
307,787,0,,,7.095366
471,787,0,,,7.128125
487,787,0,,,7.269401
1053,787,0,,,7.786955
81,797,0,,,7.608429
159,797,0,,,7.650395
217,797,0,,,6.939553
247,797,0,,,6.842712
307,797,0,,,6.643784
471,797,0,,,7.102125
487,797,0,,,7.168142
1053,797,0,,,7.026404
81,809,0,,,7.080314
159,809,0,,,7.316074
217,809,0,,,7.540645
247,809,0,,,7.199200
307,809,0,,,7.430907
471,809,0,,,7.207301
487,809,0,,,7.409696
1053,809,0,,,7.165513
81,811,0,,,8.010171
159,811,0,,,7.683325
217,811,0,,,7.380967
247,811,0,,,7.918221
307,811,0,,,7.947724
471,811,0,,,7.308604
487,811,0,,,7.239110
1053,811,0,,,8.008492
81,821,0,,,7.120731
159,821,0,,,7.068891
217,821,0,,,6.783048
247,821,0,,,7.285035
307,821,0,,,7.090757
471,821,0,,,6.842094
487,821,0,,,7.178633
1053,821,0,,,7.472455
81,823,0,,,7.381547
159,823,0,,,7.545925
217,823,0,,,7.331209
247,823,0,,,6.436010
307,823,0,,,7.610868
471,823,0,,,6.970435
487,823,0,,,6.857808
1053,823,0,,,7.010268
81,827,0,,,7.409662
159,827,0,,,7.541795
217,827,0,,,7.331721
247,827,0,,,7.481063
307,827,0,,,7.510031
471,827,0,,,7.446865
487,827,0,,,7.275140
1053,827,0,,,7.043766
81,829,0,,,7.282177
159,829,0,,,7.320268
217,829,0,,,7.245259
247,829,0,,,7.246502
307,829,0,,,7.765885
471,829,0,,,6.678817
487,829,0,,,7.328701
1053,829,0,,,7.216923
81,839,0,,,7.445186
159,839,0,,,7.080278
217,839,0,,,7.545262
247,839,0,,,7.313336
307,839,0,,,7.989471
471,839,0,,,8.062948
487,839,0,,,7.540916
1053,839,0,,,7.519244
81,853,0,,,8.111715
159,853,0,,,7.198225
217,853,0,,,7.353251
247,853,0,,,6.927314
307,853,0,,,7.339586
471,853,0,,,7.155717
487,853,0,,,7.447582
1053,853,0,,,6.870105
81,857,0,,,7.417842
159,857,0,,,6.840826
217,857,0,,,7.576355
247,857,0,,,7.897440
307,857,0,,,7.412848
471,857,0,,,7.436585
487,857,0,,,7.302460
1053,857,0,,,7.222257
81,859,0,,,7.511984
159,859,0,,,7.316573
217,859,0,,,7.110230
247,859,0,,,7.420762
307,859,0,,,7.002794
471,859,0,,,7.429938
487,859,0,,,7.932529
1053,859,0,,,8.166429
81,863,0,,,6.470861
159,863,0,,,7.626995
217,863,0,,,6.826428
247,863,0,,,7.183992
307,863,0,,,7.228907
471,863,0,,,6.852352
487,863,0,,,6.355369
1053,863,0,,,6.861120
81,877,0,,,7.590603
159,877,0,,,7.638481
217,877,0,,,7.334456
247,877,0,,,7.316605
307,877,0,,,7.063866
471,877,0,,,7.181099
487,877,0,,,7.656594
1053,877,0,,,7.167020
81,881,0,,,7.415645
159,881,0,,,7.873346
217,881,0,,,7.415378
247,881,0,,,7.608388
307,881,0,,,8.210794
471,881,0,,,7.296413
487,881,0,,,7.333289
1053,881,0,,,7.621197
81,883,0,,,7.319712
159,883,0,,,6.899797
217,883,0,,,7.235320
247,883,0,,,6.938730
307,883,0,,,7.287466
471,883,0,,,7.235971
487,883,0,,,7.052060
1053,883,0,,,7.401523
81,887,0,,,6.740378
159,887,0,,,6.714410
217,887,0,,,7.740757
247,887,0,,,7.639258
307,887,0,,,6.574194
471,887,0,,,7.928834
487,887,0,,,7.249027
1053,887,0,,,7.669444
81,907,0,,,7.282339
159,907,0,,,7.847426
217,907,0,,,7.472298
247,907,0,,,7.414673
307,907,0,,,7.507582
471,907,0,,,6.867791
487,907,0,,,6.435116
1053,907,0,,,6.839955
81,911,0,,,6.448329
159,911,0,,,7.070808
217,911,0,,,7.541446
247,911,0,,,7.113479
307,911,0,,,7.226133
471,911,0,,,7.182471
487,911,0,,,7.560394
1053,911,0,,,6.438689
81,919,0,,,7.337061
159,919,0,,,7.157205
217,919,0,,,6.765573
247,919,0,,,6.915720
307,919,0,,,7.626523
471,919,0,,,6.981178
487,919,0,,,7.117436
1053,919,0,,,7.063448
81,929,0,,,7.694208
159,929,0,,,7.449389
217,929,0,,,7.496253
247,929,0,,,7.336399
307,929,0,,,6.875007
471,929,0,,,7.269242
487,929,0,,,7.475233
1053,929,0,,,7.464588
81,937,0,,,7.029077
159,937,0,,,7.221039
217,937,0,,,8.151323
247,937,0,,,7.134969
307,937,0,,,7.071976
471,937,0,,,7.359140
487,937,0,,,7.345063
1053,937,0,,,7.252481
81,941,0,,,7.182665
159,941,0,,,7.205184
217,941,0,,,7.375247
247,941,0,,,7.188262
307,941,0,,,7.216304
471,941,0,,,7.262329
487,941,0,,,7.262531
1053,941,0,,,7.589518
81,947,0,,,7.312137
