offset,sigma,solved,method,witness,seconds
159,509,0,,,52.076029
247,509,0,,,52.131349
81,509,0,,,52.155189
217,509,0,,,52.336912
471,509,0,,,52.028019
307,509,0,,,52.212520
487,509,0,,,52.182148
1053,509,0,,,52.102089
81,521,0,,,52.135497
159,521,0,,,52.232884
217,521,0,,,52.187086
247,521,0,,,52.383002
307,521,0,,,52.158350
471,521,0,,,52.040476
487,521,0,,,52.083557
1053,521,0,,,52.071377
81,523,0,,,52.047974
159,523,0,,,51.944953
217,523,0,,,52.006753
247,523,0,,,52.053034
471,523,0,,,52.523627
307,523,0,,,52.589744
487,523,0,,,52.574059
1053,523,0,,,52.469978
217,541,0,,,52.078349
81,541,0,,,52.290145
159,541,0,,,52.295370
247,541,0,,,52.104890
471,541,0,,,51.717135
487,541,0,,,51.741808
1053,541,0,,,51.646120
307,541,0,,,51.922512
81,547,0,,,50.845607
217,547,0,,,50.879798
159,547,0,,,50.952407
247,547,0,,,50.906660
307,547,0,,,50.839800
471,547,0,,,50.715825
487,547,0,,,50.771079
1053,547,0,,,50.780945
81,557,0,,,50.900961
247,557,0,,,50.877578
217,557,0,,,51.066985
159,557,0,,,51.228602
307,557,0,,,50.711732
471,557,0,,,50.623077
1053,557,0,,,50.673784
487,557,0,,,50.806697
81,563,0,,,50.827510
159,563,0,,,50.888472
247,563,0,,,50.806903
217,563,0,,,50.943130
307,563,0,,,50.837963
471,563,0,,,50.796217
1053,563,0,,,50.784870
487,563,0,,,50.888893
81,569,0,,,50.807301
159,569,0,,,50.881520
247,569,0,,,50.744796
217,569,0,,,50.917840
307,569,0,,,50.885697
471,569,0,,,51.002083
1053,569,0,,,50.816777
487,569,0,,,50.963005
81,571,0,,,50.769363
247,571,0,,,50.663738
159,571,0,,,50.981912
217,571,0,,,50.905640
307,571,0,,,51.057172
471,571,0,,,50.880780
1053,571,0,,,50.949262
487,571,0,,,51.058724
159,577,0,,,54.184126
81,577,0,,,54.695844
247,577,0,,,54.238223
217,577,0,,,54.559554
307,577,0,,,59.429667
487,577,0,,,59.257078
471,577,0,,,59.354932
1053,577,0,,,59.269167
