n,candidate_bound,factor_bound,wheel_open_count,closed_count,open_count,closure_rate,first_open_offset,audit_q,audit_gap,pre_q_open_count,pre_q_all_closed,q_closed,first_open_matches_q
1000,4096,50000,1093,581,512,0.5315645013723697,9,1009,9,0,True,False,True
10000,4096,50000,1093,660,433,0.6038426349496798,7,10007,7,0,True,False,True
100000,4096,50000,1093,743,350,0.6797804208600183,3,100003,3,0,True,False,True
1000000,4096,50000,1093,781,312,0.7145471180237878,3,1000003,3,0,True,False,True
10000000,4096,50000,1093,842,251,0.7703568161024703,19,10000019,19,0,True,False,True
100000000,4096,50000,1093,865,228,0.7913998170173834,7,100000007,7,0,True,False,True
1000000000,4096,50000,1093,899,194,0.8225068618481244,7,1000000007,7,0,True,False,True
10000000000,4096,50000,1093,901,192,0.8243366880146387,19,10000000019,19,0,True,False,True
100000000000,4096,50000,1093,887,206,0.8115279048490394,3,100000000003,3,0,True,False,True
1000000000000,4096,50000,1093,886,207,0.8106129917657823,39,1000000000039,39,0,True,False,True
10000000000000,4096,50000,1093,863,230,0.7895699908508692,37,10000000000037,37,0,True,False,True
100000000000000,4096,50000,1093,892,201,0.8161024702653248,31,100000000000031,31,0,True,False,True
1000000000000000,4096,50000,1093,884,209,0.8087831655992681,3,1000000000000037,37,1,False,False,False
10000000000000000,4096,50000,1093,894,199,0.817932296431839,37,10000000000000061,61,3,False,False,False
100000000000000000,4096,50000,1093,900,193,0.8234217749313815,3,100000000000000003,3,0,True,False,True
1000000000000000000,4096,50000,1093,888,205,0.8124428179322964,3,1000000000000000003,3,0,True,False,True
1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4096,50000,1093,892,201,0.8161024702653248,37,,,0,,,
