scale,q,candidate,sixth_layer_normal_form,fifth_remainder,fifth_remainder_signature,sixth_factor,sixth_remainder,sixth_remainder_tau,sixth_remainder_family,sixth_remainder_signature,sixth_strip_terminal,sixth_strip_accounted
1000000000000000000,999999999999958571,999999999999958573,distinct_4_prime_product,37863011623943,11*17*21617*9366517,11,3442091965813,8,multi_prime_family,17*21617*9366517,seventh_layer_multi_prime,False
1000000000000000000,999999999999641639,999999999999641641,one_square_3_distinct_prime_product,37863011623931,13^2*761*2917*100927,13,2912539355687,16,multi_prime_family,13*761*2917*100927,seventh_layer_multi_prime,False
