k,count,possible_g,mean_g,min_g,max_g,num_possible_g,level_share,mean_compress,tau4_share,square_share
3,5422,[2],2.0,2,2,1,0.0002,1.0,0.0002,0.0
5,1781,[4],4.0,4,4,1,0.0006,2.187,0.3172,0.0
7,2435,"[4, 6]",5.3791,4,6,2,0.0,2.4366,0.5914,0.0012
9,2147,"[4, 8]",6.217,4,8,2,0.0005,2.5799,0.6544,0.0009
11,1726,"[4, 6, 8, 10]",7.2457,4,10,4,0.0012,2.9189,0.7451,0.0006
13,1720,"[4, 6, 8, 10, 12]",8.2953,4,12,5,0.0006,3.2134,0.8017,0.0017
15,1582,"[8, 14]",11.182,8,14,2,0.0,3.5815,0.9191,0.0051
17,1296,"[4, 6, 8, 10, 12, 14, 16]",9.6127,4,16,7,0.0015,3.2245,0.831,0.0031
19,1280,"[4, 6, 8, 10, 12, 14, 16, 18]",10.8203,4,18,8,0.0008,3.3195,0.8641,0.0023
21,1636,"[8, 10, 16, 20]",12.7873,8,20,4,0.0,3.632,0.9358,0.0031
23,1003,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22]",11.8225,4,22,10,0.0,3.346,0.8514,0.002
25,1010,"[6, 12, 16, 18, 22, 24]",13.1921,6,24,6,0.002,3.3307,0.8802,0.002
27,911,"[10, 14, 16, 20, 22, 26]",16.1405,10,26,6,0.0,3.82,0.966,0.0033
29,812,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28]",13.6847,4,28,13,0.0012,3.5419,0.8842,0.0
31,760,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",13.9342,4,30,14,0.0026,3.4711,0.8539,0.0053
33,594,"[14, 16, 20, 26, 28, 32]",20.1751,14,32,6,0.0017,3.8737,0.9865,0.0118
35,505,"[12, 18, 22, 24, 26, 32, 34]",18.6257,12,34,7,0.0,4.0119,0.9901,0.002
37,617,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36]",14.6353,4,36,17,0.0,3.3436,0.8655,0.0016
39,494,"[14, 16, 20, 22, 28, 32, 34, 38]",21.17,14,38,8,0.0,3.8644,0.9899,0.0081
41,528,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40]",14.875,4,40,19,0.0038,3.4602,0.8731,0.0019
43,517,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42]",15.47,4,42,20,0.0019,3.5687,0.8704,0.0019
45,245,"[16, 22, 26, 28, 32, 34, 38, 44]",27.6571,16,44,8,0.0,3.9469,1.0,0.0
47,459,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46]",16.4532,4,46,22,0.0022,3.5534,0.8671,0.0044
49,232,"[12, 18, 22, 24, 26, 30, 34, 36, 38, 40, 44, 46, 48]",22.1207,12,48,13,0.0,4.1595,0.9914,0.0
51,238,"[20, 22, 26, 28, 32, 38, 40, 44, 46, 50]",26.2857,20,50,10,0.0042,3.9076,0.9958,0.0042
53,392,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52]",15.7041,4,52,25,0.0051,3.4133,0.875,0.0
55,220,"[12, 18, 24, 34, 36, 38, 42, 46, 48, 52, 54]",22.3091,12,54,11,0.0,3.7091,0.9818,0.0091
57,205,"[20, 22, 26, 28, 32, 34, 40, 44, 46, 50, 52, 56]",27.6,20,56,12,0.0,3.9415,1.0,0.0
59,332,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 46, 48, 50, 54, 58]",16.3855,4,58,25,0.003,3.5934,0.8735,0.003
61,336,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 54, 58, 60]",15.6012,4,60,25,0.0,3.6339,0.872,0.003
63,67,"[22, 26, 32, 34, 38, 40, 44, 46, 50, 52, 58]",36.4776,22,58,11,0.0,4.3433,0.9851,0.0149
65,84,"[18, 24, 36, 42, 44, 48, 54, 56, 58]",25.2381,18,58,9,0.0,4.3571,1.0,0.0
67,297,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 36, 38, 40, 42, 44, 48, 50, 56, 60, 62]",15.6027,4,62,25,0.0034,3.6431,0.8586,0.0034
69,79,"[26, 28, 32, 34, 38, 40, 44, 56, 58, 68]",33.5443,26,68,10,0.0,4.1013,1.0,0.0
71,270,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 34, 36, 38, 40, 42, 44, 46, 54, 58]",15.0667,4,58,23,0.0037,3.363,0.863,0.0
73,241,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 46, 50, 52, 54, 60]",15.61,4,60,25,0.0083,3.4647,0.8423,0.0
75,60,"[26, 28, 32, 34, 38, 44, 46, 52, 58, 64]",32.6667,26,64,10,0.0,3.7833,0.9667,0.0333
77,112,"[12, 18, 24, 30, 34, 36, 38, 48, 50, 54, 58, 60, 64]",21.3929,12,64,13,0.0,3.9196,0.9554,0.0
79,228,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 50, 52, 56, 62, 78]",16.6754,4,78,25,0.0,3.636,0.8596,0.0
81,32,"[28, 32, 34, 38, 40, 44, 50, 70, 76]",36.8125,28,76,9,0.0,3.5938,1.0,0.0
83,248,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 34, 36, 40, 42, 44, 50, 54, 56, 60, 66]",16.0081,4,66,24,0.0,3.1694,0.8427,0.0081
85,47,"[18, 24, 36, 42, 54]",24.5106,18,54,5,0.0,3.6596,1.0,0.0
87,38,"[32, 34, 38, 40, 46, 56, 74]",39.7368,32,74,7,0.0,4.0263,0.9737,0.0263
89,214,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 42, 48, 52, 54]",16.2056,4,54,22,0.0047,3.8411,0.8832,0.0047
91,50,"[18, 24, 30, 36, 40, 54, 60, 76]",27.72,18,76,8,0.0,3.76,1.0,0.0
93,27,"[32, 34, 38, 40, 44, 50, 52, 58]",38.7407,32,58,8,0.0,3.5185,1.0,0.0
95,21,"[24, 36, 42, 48]",31.4286,24,48,4,0.0,3.4762,1.0,0.0
97,189,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 36, 40, 42, 44, 48, 54]",15.0265,4,54,21,0.0,3.3069,0.8677,0.0106
99,12,"[34, 38, 40, 46, 50, 56]",42.0,34,56,6,0.0,3.3333,1.0,0.0
101,175,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 36, 40, 42, 46, 54, 58, 60]",15.0743,4,60,21,0.0229,3.64,0.8857,0.0114
103,143,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 34, 36, 42]",13.7622,4,42,17,0.007,3.4685,0.8601,0.007
105,4,[38],38.0,38,38,1,0.0,2.75,1.0,0.0
107,156,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 34, 36, 38, 40, 42, 46, 56, 60]",14.6282,4,60,22,0.0064,3.5321,0.8526,0.0064
109,170,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 54, 60, 62]",16.8706,4,62,26,0.0176,3.7059,0.8882,0.0
111,17,"[38, 40, 44, 46, 50, 52, 56, 68]",46.5882,38,68,8,0.0,3.0,1.0,0.0
113,170,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 36, 38, 40, 44, 48, 54, 60]",14.1882,4,60,21,0.0059,3.1294,0.8294,0.0
115,24,"[24, 36, 42, 48, 66]",34.0,24,66,5,0.0,4.0,1.0,0.0
117,8,"[40, 44, 46, 56]",43.25,40,56,4,0.0,2.75,1.0,0.0
119,33,"[18, 24, 30, 36, 52, 54]",27.7576,18,54,6,0.0,4.6061,1.0,0.0
121,49,"[12, 18, 24, 36, 42, 48]",18.0,12,48,6,0.0,3.2857,0.9796,0.0
123,7,"[44, 46, 62, 64]",50.0,44,64,4,0.0,2.1429,1.0,0.0
125,8,"[36, 42, 48, 54]",42.0,36,54,4,0.0,4.0,1.0,0.0
127,128,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 40, 42, 48, 60, 86]",15.7344,4,86,22,0.0156,3.3672,0.8203,0.0
129,12,"[44, 46, 50, 56, 58, 62, 70]",51.3333,44,70,7,0.0,4.5,1.0,0.0
131,135,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 34, 36, 40, 42, 46, 48, 54]",16.8296,4,54,21,0.0148,3.3259,0.8741,0.0074
133,16,"[24, 30, 48, 60]",29.25,24,60,4,0.0,3.5,1.0,0.0
135,3,"[46, 52, 58]",52.0,46,58,3,0.0,2.6667,1.0,0.0
137,119,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 34, 36, 38, 40, 42, 48, 52, 54, 58]",16.1008,4,58,23,0.0084,3.395,0.8403,0.0
139,116,"[4, 6, 8, 10, 12, 14, 16, 18, 22, 24, 26, 28, 30, 32, 34, 36, 42, 46, 58, 60]",15.3966,4,60,20,0.0,3.2328,0.8707,0.0086
141,4,"[50, 52, 70, 100]",68.0,50,100,4,0.0,2.5,1.0,0.0
143,22,"[18, 24, 30, 36, 46, 48]",28.0,18,48,6,0.0,3.3636,1.0,0.0
145,6,"[36, 42, 54]",40.0,36,54,3,0.0,4.3333,1.0,0.0
147,1,[50],50.0,50,50,1,0.0,2.0,1.0,0.0
