rung_min_exponent,rung_max_exponent,exponent,exponent_divisor_count,exponent_status,number_family,left_prime_rule_id,candidate_bound,candidate_seconds_limit,candidate_checks,rejected_candidate_offsets_before_left_prime,unresolved_reason,unresolved_candidate_offset,power_of_two,mersenne_number,distance_to_left_prime,mersenne_location_inferred,left_prime
2,31,2,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,4,3,1,True,3
2,31,3,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,8,7,1,True,7
2,31,5,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,32,31,1,True,31
2,31,7,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,128,127,1,True,127
2,31,13,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,8192,8191,1,True,8191
2,31,17,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,131072,131071,1,True,131071
2,31,19,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,524288,524287,1,True,524287
2,31,31,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,2147483648,2147483647,1,True,2147483647
32,100,61,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,2305843009213693952,2305843009213693951,1,True,2305843009213693951
32,100,89,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,618970019642690137449562112,618970019642690137449562111,1,True,618970019642690137449562111
101,1000,107,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,162259276829213363391578010288128,162259276829213363391578010288127,1,True,162259276829213363391578010288127
101,1000,127,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,170141183460469231731687303715884105728,170141183460469231731687303715884105727,1,True,170141183460469231731687303715884105727
101,1000,521,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152,6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057151,1,True,6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057151
101,1000,607,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,531137992816767098689588206552468627329593117727031923199444138200403559860852242739162502265229285668889329486246501015346579337652707239409519978766587351943831270835393219031728128,531137992816767098689588206552468627329593117727031923199444138200403559860852242739162502265229285668889329486246501015346579337652707239409519978766587351943831270835393219031728127,1,True,531137992816767098689588206552468627329593117727031923199444138200403559860852242739162502265229285668889329486246501015346579337652707239409519978766587351943831270835393219031728127
