peeled_factor_residue_path,tail_exponent_pattern,count
7->7->7,2,5
7->11->11,2,2
11->13->17,2,1
13->13->13,2,1
7->11->17,2,1
7->13->13,2,1
7->17->1->11,2,1
7->7->19,2,1
7->7->7,3,1
7->7->7,4,1
