offset,solved,method,witness,seconds
81,0,,,23.175022
159,0,,,23.089852
217,0,,,23.020139
247,0,,,23.237100
307,0,,,23.632787
423,0,,,23.070022
471,0,,,23.233419
487,0,,,24.037228
1053,0,,,23.367090
1083,0,,,24.363977
1087,0,,,23.409077
