offset,sigma,solved,method,witness,seconds
247,389,0,,,25.524280
159,389,0,,,25.565391
81,389,0,,,25.571272
217,389,0,,,25.576977
471,389,0,,,25.662683
1053,389,0,,,25.656238
307,389,0,,,25.721282
487,389,0,,,25.679198
247,397,0,,,25.548647
81,397,0,,,25.608380
159,397,0,,,25.634272
217,397,0,,,25.651379
307,397,0,,,25.605983
487,397,0,,,25.563819
471,397,0,,,25.601889
1053,397,0,,,25.603365
81,401,0,,,25.680572
247,401,0,,,25.589382
217,401,0,,,25.690229
159,401,0,,,25.718748
307,401,0,,,25.607102
471,401,0,,,25.615314
1053,401,0,,,25.581686
487,401,0,,,25.631662
247,409,0,,,25.499172
159,409,0,,,25.574120
217,409,0,,,25.657905
81,409,0,,,25.718500
471,409,0,,,25.730026
307,409,0,,,25.891199
1053,409,0,,,25.791980
487,409,0,,,25.825296
81,419,0,,,25.683221
247,419,0,,,25.608568
159,419,0,,,25.712372
217,419,0,,,25.702309
307,419,0,,,25.691459
471,419,0,,,25.576295
487,419,0,,,25.690064
1053,419,0,,,25.714111
81,421,0,,,25.631562
159,421,0,,,25.647822
247,421,0,,,25.564604
217,421,0,,,25.654111
307,421,0,,,25.677615
471,421,0,,,25.657175
487,421,0,,,25.692700
1053,421,0,,,25.689399
81,431,0,,,25.608811
247,431,0,,,25.509118
159,431,0,,,25.780137
217,431,0,,,25.628316
307,431,0,,,25.605387
471,431,0,,,25.578215
487,431,0,,,25.597518
1053,431,0,,,25.662104
81,433,0,,,25.580085
159,433,0,,,25.614901
247,433,0,,,25.519703
217,433,0,,,25.611556
471,433,0,,,25.723158
307,433,0,,,25.841164
487,433,0,,,25.825370
1053,433,0,,,25.822646
159,439,0,,,25.947739
81,439,0,,,25.971861
247,439,0,,,25.861127
217,439,0,,,25.976412
471,439,0,,,25.941562
307,439,0,,,26.000843
487,439,0,,,25.969561
1053,439,0,,,25.927865
81,443,0,,,26.009053
217,443,0,,,26.032467
159,443,0,,,26.123312
247,443,0,,,26.000073
307,443,0,,,26.064684
1053,443,0,,,25.942890
471,443,0,,,25.999351
487,443,0,,,26.017599
81,449,0,,,26.330352
159,449,0,,,26.356749
247,449,0,,,26.405401
217,449,0,,,26.489455
307,449,0,,,27.326902
471,449,0,,,27.359171
487,449,0,,,27.307072
1053,449,0,,,27.405455
81,457,0,,,25.957772
159,457,0,,,25.972063
247,457,0,,,25.881271
217,457,0,,,26.100671
471,457,0,,,26.583885
307,457,0,,,26.754907
1053,457,0,,,26.483254
487,457,0,,,26.617019
81,461,0,,,25.953499
159,461,0,,,25.978126
247,461,0,,,25.908723
217,461,0,,,26.060932
471,461,0,,,26.458743
1053,461,0,,,26.457820
307,461,0,,,26.700755
487,461,0,,,26.644601
81,463,0,,,26.613270
247,463,0,,,26.512320
217,463,0,,,26.585483
159,463,0,,,26.670659
307,463,0,,,26.513267
471,463,0,,,26.545978
487,463,0,,,26.521048
1053,463,0,,,26.498051
247,467,0,,,26.493239
81,467,0,,,26.698348
217,467,0,,,26.579876
159,467,0,,,26.727827
471,467,0,,,26.438650
307,467,0,,,26.489003
487,467,0,,,26.446537
1053,467,0,,,26.393261
217,479,0,,,26.472826
159,479,0,,,26.554266
247,479,0,,,26.506908
81,479,0,,,26.722650
471,479,0,,,26.543102
307,479,0,,,26.611305
487,479,0,,,26.652380
1053,479,0,,,26.631264
81,487,0,,,26.528302
159,487,0,,,26.595198
247,487,0,,,26.555308
217,487,0,,,26.730454
307,487,0,,,26.517555
471,487,0,,,26.488771
487,487,0,,,26.466634
1053,487,0,,,26.498828
81,491,0,,,26.715001
159,491,0,,,26.738691
217,491,0,,,26.718502
247,491,0,,,26.656934
307,491,0,,,26.495950
471,491,0,,,26.415208
1053,491,0,,,26.412070
487,491,0,,,26.614981
81,499,0,,,26.307221
159,499,0,,,26.676866
247,499,0,,,26.333144
217,499,0,,,26.613918
307,499,0,,,26.488473
487,499,0,,,26.425377
471,499,0,,,26.451908
1053,499,0,,,26.572650
81,503,0,,,26.503917
159,503,0,,,26.484499
217,503,0,,,26.500826
247,503,0,,,26.262783
307,503,0,,,26.525732
1053,503,0,,,26.243811
471,503,0,,,26.354974
487,503,0,,,26.437420
