offset,sigma,solved,method,witness,seconds
247,211,0,,,13.054678
81,211,0,,,13.086308
159,211,0,,,13.113166
217,211,0,,,13.123187
307,211,0,,,12.977473
423,211,0,,,12.988709
471,211,0,,,12.970670
487,211,0,,,13.021777
1053,211,0,,,13.014180
1083,211,0,,,12.988306
1087,211,0,,,12.994403
81,223,0,,,13.006685
247,223,0,,,12.937191
159,223,0,,,12.979481
217,223,0,,,12.988444
307,223,0,,,12.958414
471,223,0,,,13.305188
423,223,0,,,13.336467
487,223,0,,,13.329482
1053,223,0,,,13.314190
1083,223,0,,,12.952609
1087,223,0,,,12.950334
81,227,0,,,12.951270
159,227,0,,,12.974803
247,227,0,,,12.894686
217,227,0,,,12.958136
307,227,0,,,12.924972
423,227,0,,,12.937207
471,227,0,,,12.966801
487,227,0,,,12.960227
1053,227,0,,,12.951160
1083,227,0,,,12.983242
1087,227,0,,,12.888372
81,229,0,,,12.902935
159,229,0,,,12.939246
217,229,0,,,12.920681
247,229,0,,,12.868364
307,229,0,,,12.901131
423,229,0,,,12.904226
471,229,0,,,12.873886
487,229,0,,,14.746011
1053,229,0,,,14.834084
1083,229,0,,,14.871208
1087,229,0,,,14.938902
81,233,0,,,13.028242
159,233,0,,,13.064705
217,233,0,,,13.053269
247,233,0,,,13.012160
307,233,0,,,13.215463
423,233,0,,,13.248917
471,233,0,,,13.184554
487,233,0,,,13.181453
1053,233,0,,,13.106035
1087,233,0,,,13.114626
1083,233,0,,,13.123048
81,239,0,,,13.135025
159,239,0,,,13.751632
247,239,0,,,13.691746
217,239,0,,,13.762816
307,239,0,,,13.758001
423,239,0,,,14.073533
487,239,0,,,13.983252
471,239,0,,,14.055805
1053,239,0,,,14.010682
1083,239,0,,,14.441874
81,241,0,,,14.430755
1087,239,1,gmp_ecm_b250k_sigma_239,212495643561138799,14.484476
159,241,0,,,14.407188
217,241,0,,,13.317076
247,241,0,,,13.237286
307,241,0,,,13.322184
423,241,0,,,13.305402
471,241,0,,,13.483208
487,241,0,,,13.487773
1053,241,0,,,13.487986
1083,241,0,,,13.490748
1087,241,1,gmp_ecm_b250k_sigma_241,212495643561138799,13.359076
81,251,0,,,13.301663
159,251,0,,,13.315588
217,251,0,,,13.338581
247,251,0,,,13.329601
307,251,0,,,13.363723
423,251,1,gmp_ecm_b250k_sigma_251,263935673443192995592639,13.408147
471,251,0,,,13.422632
487,251,0,,,14.122165
1053,251,0,,,14.095802
1087,251,0,,,14.030004
1083,251,0,,,14.117651
81,257,0,,,13.427859
159,257,0,,,13.426078
247,257,0,,,13.362229
217,257,0,,,13.399643
307,257,0,,,14.192219
423,257,0,,,14.183977
487,257,0,,,14.178265
471,257,0,,,14.230927
1087,257,1,gmp_ecm_b250k_sigma_257,212495643561138799,11.819160
1053,257,0,,,13.260504
1083,257,0,,,13.279803
81,263,0,,,13.288810
159,263,0,,,13.371198
217,263,0,,,13.428534
247,263,0,,,13.384258
307,263,0,,,13.415957
423,263,0,,,13.134533
471,263,0,,,13.044269
487,263,0,,,13.046706
1053,263,0,,,13.021065
1087,263,1,gmp_ecm_b250k_sigma_263,212495643561138799,11.524819
1083,263,0,,,12.930846
