offset,solved,method,witness,seconds
81,0,,,9.211806
97,0,,,9.207226
159,0,,,9.250978
217,0,,,9.223890
247,0,,,9.231935
307,0,,,9.223633
423,0,,,9.225212
471,0,,,9.212573
487,0,,,9.203525
783,0,,,9.251369
877,0,,,9.232719
907,0,,,9.195964
957,0,,,9.202246
997,0,,,9.201316
1053,0,,,9.237914
1083,0,,,9.211614
1087,0,,,9.231863
