offset,sigma,solved,method,witness,seconds
81,11,0,,,0.745591
97,11,0,,,0.745302
159,11,0,,,0.742716
217,11,0,,,0.748845
247,11,0,,,0.748315
307,11,0,,,0.746647
423,11,0,,,0.746211
471,11,0,,,0.743505
487,11,0,,,0.742377
783,11,1,gmp_ecm_b11k_sigma_11,155034584533,0.792178
877,11,0,,,0.754142
907,11,0,,,0.746400
957,11,0,,,0.759538
997,11,0,,,0.747555
1053,11,0,,,0.743196
1083,11,0,,,0.745985
1087,11,0,,,0.745129
81,17,0,,,0.745364
97,17,0,,,0.752527
159,17,0,,,0.743535
217,17,0,,,0.746211
247,17,0,,,0.743332
307,17,0,,,0.745855
423,17,0,,,0.744577
471,17,0,,,0.742983
487,17,0,,,0.749516
877,17,0,,,0.753297
907,17,1,gmp_ecm_b11k_sigma_17,1271987883619,0.753876
957,17,0,,,0.744803
997,17,0,,,0.745176
1053,17,0,,,0.743922
1083,17,0,,,0.744139
1087,17,0,,,0.749129
81,23,0,,,0.745485
97,23,0,,,0.744745
159,23,0,,,0.743946
217,23,0,,,0.746677
247,23,0,,,0.741551
307,23,0,,,0.750431
423,23,0,,,0.746247
471,23,0,,,0.755424
487,23,0,,,0.746253
877,23,0,,,0.744734
957,23,0,,,0.745585
997,23,1,gmp_ecm_b11k_sigma_23,5950437168328181,0.754460
1053,23,0,,,0.754667
1083,23,0,,,0.747788
1087,23,0,,,0.744178
81,29,0,,,0.743903
97,29,0,,,0.745368
159,29,0,,,0.748105
217,29,0,,,0.743652
247,29,0,,,0.749898
307,29,0,,,0.754125
423,29,0,,,0.753077
471,29,0,,,0.742186
487,29,0,,,0.741000
877,29,1,gmp_ecm_b11k_sigma_29,90961441396431761,0.757296
957,29,0,,,0.745104
1053,29,0,,,0.748766
1083,29,0,,,0.742706
1087,29,0,,,0.742348
81,31,0,,,0.743944
97,31,0,,,0.742170
159,31,0,,,0.742642
217,31,0,,,0.756229
247,31,0,,,0.754701
307,31,0,,,0.754039
423,31,0,,,0.747094
