offset,solved,method,witness,seconds
81,0,,,5.041765
97,0,,,4.969698
159,0,,,5.021893
217,0,,,4.952045
247,0,,,4.992094
307,0,,,4.975967
423,0,,,4.974001
471,0,,,4.975327
487,0,,,4.969592
601,1,gmp_ecm_pm1_1m_100m,800678377553,4.879429
769,1,gmp_ecm_pm1_1m_100m,4113839410693,4.588508
783,0,,,5.020815
819,1,gmp_ecm_pm1_1m_100m,71209726858447,4.614586
877,0,,,4.955822
907,0,,,4.976097
921,1,gmp_ecm_pm1_1m_100m,1337865161465878931,4.588424
957,0,,,5.027173
987,1,gmp_ecm_pm1_1m_100m,24541232753,4.765299
997,0,,,4.974298
1047,1,gmp_ecm_pm1_1m_100m,29218369049,4.593065
1053,0,,,4.969603
1083,0,,,4.970619
1087,0,,,5.002188
