offset,sigma,solved,method,witness,seconds
247,127,0,,,7.271184
307,127,0,,,7.698091
471,127,0,,,7.661224
487,127,0,,,7.270865
1053,127,0,,,7.753644
81,131,0,,,6.952091
159,131,0,,,7.504937
217,131,0,,,7.489515
247,131,0,,,6.885967
307,131,0,,,6.721310
471,131,0,,,6.991121
487,131,0,,,7.518057
1053,131,0,,,7.752427
81,137,0,,,7.172558
159,137,0,,,7.500582
217,137,0,,,7.725140
247,137,0,,,7.203551
307,137,0,,,8.087595
471,137,0,,,7.802962
487,137,0,,,7.341126
1053,137,0,,,6.878828
81,139,0,,,7.019699
159,139,0,,,7.639948
217,139,0,,,7.048187
247,139,0,,,6.774971
307,139,0,,,7.314084
471,139,0,,,7.654247
487,139,0,,,7.308428
1053,139,0,,,7.118134
81,149,0,,,6.784873
159,149,0,,,7.517359
217,149,0,,,7.105762
247,149,0,,,7.570744
307,149,0,,,7.608599
471,149,0,,,7.251153
487,149,0,,,7.550143
1053,149,0,,,7.049015
81,151,0,,,7.314705
159,151,0,,,7.468120
217,151,0,,,7.379660
247,151,0,,,7.450850
307,151,0,,,6.950880
471,151,0,,,7.138728
487,151,0,,,7.239179
1053,151,0,,,7.092385
81,157,0,,,7.696246
159,157,0,,,6.993326
217,157,0,,,7.092514
247,157,0,,,7.939738
307,157,0,,,7.135452
471,157,0,,,6.945784
487,157,0,,,7.407791
1053,157,0,,,7.300117
81,163,0,,,7.255022
159,163,0,,,7.657107
217,163,0,,,7.446089
247,163,0,,,8.029843
307,163,0,,,6.974506
471,163,0,,,7.313494
487,163,0,,,7.847565
1053,163,0,,,7.870511
81,167,0,,,7.954587
159,167,0,,,7.104016
217,167,0,,,7.395477
247,167,0,,,7.235769
307,167,0,,,7.576010
471,167,0,,,7.279678
487,167,0,,,7.437879
1053,167,0,,,7.631231
81,173,0,,,7.775708
159,173,0,,,7.247172
217,173,0,,,7.299577
247,173,0,,,7.324224
307,173,0,,,7.206396
471,173,0,,,6.770383
487,173,0,,,7.323021
1053,173,0,,,6.919966
81,179,0,,,7.398118
159,179,0,,,7.659996
217,179,0,,,7.551602
247,179,0,,,7.143317
307,179,0,,,7.357931
471,179,0,,,7.183914
487,179,0,,,7.733887
1053,179,0,,,7.711330
81,181,0,,,7.682415
159,181,0,,,7.512858
217,181,0,,,7.437710
247,181,0,,,7.485771
307,181,0,,,7.449438
471,181,0,,,7.350981
487,181,0,,,7.647907
1053,181,0,,,7.624264
81,191,0,,,7.898139
159,191,0,,,7.089038
217,191,0,,,7.104535
247,191,0,,,7.681357
307,191,0,,,7.461521
471,191,0,,,7.122685
487,191,0,,,7.136731
1053,191,0,,,7.521287
81,193,0,,,7.421351
159,193,0,,,7.407389
217,193,0,,,7.375492
247,193,0,,,7.037306
307,193,0,,,7.119784
