source_rung_min_exponent,source_rung_max_exponent,exponent,exponent_divisor_count,source_candidate_bound,source_candidate_seconds_limit,source_candidate_checks,source_unresolved_candidate_offset,pressure_candidate_bound,pressure_candidate_seconds_limit,pressure_exponent_status,pressure_candidate_checks,pressure_unresolved_reason,pressure_unresolved_candidate_offset,power_of_two,mersenne_number,distance_to_left_prime,mersenne_location_inferred,left_prime
101,1000,167,2,4096,3.0,4,15,4096,10.0,left_prime_unresolved,9,candidate_work_limit,31,187072209578355573530071658587684226515959365500928,187072209578355573530071658587684226515959365500927,,False,
101,1000,173,2,4096,3.0,4,13,4096,10.0,left_prime_unresolved,4,candidate_work_limit,13,11972621413014756705924586149611790497021399392059392,11972621413014756705924586149611790497021399392059391,,False,
101,1000,179,2,4096,3.0,4,15,4096,10.0,left_prime_unresolved,4,candidate_work_limit,15,766247770432944429179173513575154591809369561091801088,766247770432944429179173513575154591809369561091801087,,False,
101,1000,181,2,4096,3.0,9,31,4096,10.0,left_prime_unresolved,9,candidate_work_limit,31,3064991081731777716716694054300618367237478244367204352,3064991081731777716716694054300618367237478244367204351,,False,
101,1000,193,2,4096,3.0,1,1,4096,10.0,left_prime_unresolved,1,candidate_work_limit,1,12554203470773361527671578846415332832204710888928069025792,12554203470773361527671578846415332832204710888928069025791,,False,
101,1000,199,2,4096,3.0,2,7,4096,10.0,left_prime_unresolved,4,candidate_work_limit,15,803469022129495137770981046170581301261101496891396417650688,803469022129495137770981046170581301261101496891396417650687,,False,
101,1000,211,2,4096,3.0,4,15,4096,10.0,left_prime_unresolved,4,candidate_work_limit,15,3291009114642412084309938365114701009965471731267159726697218048,3291009114642412084309938365114701009965471731267159726697218047,,False,
101,1000,223,2,4096,3.0,6,21,4096,10.0,left_prime_unresolved,6,candidate_work_limit,21,13479973333575319897333507543509815336818572211270286240551805124608,13479973333575319897333507543509815336818572211270286240551805124607,,False,
101,1000,227,2,4096,3.0,5,19,4096,10.0,left_prime_unresolved,6,candidate_work_limit,21,215679573337205118357336120696157045389097155380324579848828881993728,215679573337205118357336120696157045389097155380324579848828881993727,,False,
101,1000,229,2,4096,3.0,5,15,4096,10.0,left_prime_unresolved,5,candidate_work_limit,15,862718293348820473429344482784628181556388621521298319395315527974912,862718293348820473429344482784628181556388621521298319395315527974911,,False,
101,1000,239,2,4096,3.0,2,7,4096,10.0,left_prime_unresolved,2,candidate_work_limit,7,883423532389192164791648750371459257913741948437809479060803100646309888,883423532389192164791648750371459257913741948437809479060803100646309887,,False,
101,1000,241,2,4096,3.0,2,3,4096,10.0,left_prime_unresolved,2,candidate_work_limit,3,3533694129556768659166595001485837031654967793751237916243212402585239552,3533694129556768659166595001485837031654967793751237916243212402585239551,,False,
101,1000,251,2,4096,3.0,2,7,4096,10.0,left_prime_unresolved,2,candidate_work_limit,7,3618502788666131106986593281521497120414687020801267626233049500247285301248,3618502788666131106986593281521497120414687020801267626233049500247285301247,,False,
101,1000,257,2,4096,3.0,1,1,4096,10.0,left_prime_unresolved,1,candidate_work_limit,1,231584178474632390847141970017375815706539969331281128078915168015826259279872,231584178474632390847141970017375815706539969331281128078915168015826259279871,,False,
101,1000,263,2,4096,3.0,1,1,4096,10.0,left_prime_unresolved,1,candidate_work_limit,1,14821387422376473014217086081112052205218558037201992197050570753012880593911808,14821387422376473014217086081112052205218558037201992197050570753012880593911807,,False,
