gap,count,share,min_gap_divisor_count,mean_gap_divisor_count,max_gap_divisor_count
2,8299,0.10206616652318289,6,37.25364501747198,768
4,8275,0.10177099987701389,13,49.562779456193354,520
6,13785,0.16953634239330956,25,80.45788900979325,704
8,5675,0.06979461320870742,46,121.44511013215859,1112
10,7238,0.08901734104046242,56,130.2573915446256,784
12,8213,0.10100848604107736,70,168.95738463411664,1438
14,4339,0.0533636699053007,81,211.00230467849735,1653
16,2962,0.03642848358135531,126,208.8582039162728,900
18,5064,0.06228016234165539,132,257.67890995260666,1572
20,2488,0.030598942319517895,159,301.03255627009645,1668
22,2251,0.02768417168859919,170,305.5428698356286,1666
24,2793,0.03435001844791539,202,353.77228786251345,4314
26,1241,0.015262575328987824,226,393.1184528605963,2526
28,1297,0.015951297503382117,230,399.22282189668465,1588
30,2035,0.025027671873078344,281,448.95429975429977,2764
32,607,0.007465256426023859,304,519.2289950576607,3074
34,603,0.007416061984995695,282,520.7014925373135,2882
36,851,0.010466117328741852,362,562.1480611045829,4082
38,368,0.004525888574591071,434,627.5951086956521,5220
40,475,0.005841839872094454,416,627.2231578947368,2404
42,539,0.006628950928545075,438,689.9332096474953,2354
44,229,0.0028163817488623785,456,745.3624454148471,2720
46,187,0.0022998401180666585,514,766.144385026738,2194
48,244,0.003000860902717993,524,864.9713114754098,2942
50,128,0.001574222112901242,554,905.515625,3422
52,96,0.0011806665846759317,546,878.40625,2114
54,189,0.00232443733858074,620,1030.3597883597884,3152
56,76,0.0009346943795351126,708,1104.157894736842,2824
58,77,0.0009469929897921535,636,1128.7142857142858,2624
60,130,0.001598819333415324,700,1170.9,3918
62,30,0.00036895830771122864,688,1427.9,3304
64,35,0.0004304513589964334,770,1345.8857142857144,3404
66,74,0.0009100971590210306,856,1400.7837837837837,3010
68,26,0.0003197638666830648,894,1581,3074
70,39,0.0004796458000245972,848,1655.974358974359,4170
72,36,0.00044274996925347434,816,1877,3536
74,23,0.00028286803591194196,1002,1815.9565217391305,4234
76,17,0.00020907637436969623,1022,2005.8823529411766,3550
78,27,0.0003320624769401058,1010,1848.7777777777778,3720
80,13,0.0001598819333415324,1158,2757.846153846154,5358
82,13,0.0001598819333415324,1110,2212.3076923076924,3464
84,37,0.0004550485795105153,1174,2517.3513513513512,4116
86,18,0.00022137498462673717,1162,2638.1111111111113,3942
88,8,9.838888205632763e-05,1258,2632.5,3598
90,24,0.00029516664616898293,1262,2925.8333333333335,5634
92,4,4.9194441028163815e-05,1402,2382.5,3100
94,6,7.379166154224573e-05,1914,3461.6666666666665,4502
96,12,0.00014758332308449147,1294,3489.1666666666665,5202
98,7,8.609027179928667e-05,1428,3119.1428571428573,4146
100,8,9.838888205632763e-05,1394,2617,4746
102,6,7.379166154224573e-05,2892,3486,3900
104,6,7.379166154224573e-05,2550,4023,7178
106,3,3.6895830771122866e-05,2106,3488.6666666666665,4964
108,7,8.609027179928667e-05,3092,3748.285714285714,5020
110,3,3.6895830771122866e-05,3048,3736,4960
112,1,1.2298610257040954e-05,1550,1550,1550
114,5,6.149305128520478e-05,1560,3695.2,6100
116,3,3.6895830771122866e-05,4326,4646,4822
118,2,2.4597220514081907e-05,4534,4732,4930
120,11,0.0001352847128274505,3584,4730.909090909091,6014
122,3,3.6895830771122866e-05,5556,5636,5782
124,1,1.2298610257040954e-05,5697,5697,5697
126,5,6.149305128520478e-05,4030,4535.2,5040
128,2,2.4597220514081907e-05,5178,5251,5324
130,1,1.2298610257040954e-05,5044,5044,5044
132,1,1.2298610257040954e-05,5150,5150,5150
134,3,3.6895830771122866e-05,3398,5145.333333333333,6362
136,1,1.2298610257040954e-05,4270,4270,4270
138,4,4.9194441028163815e-05,4804,5856,6504
140,2,2.4597220514081907e-05,5696,5708,5720
142,2,2.4597220514081907e-05,4706,4972,5238
144,1,1.2298610257040954e-05,7514,7514,7514
146,2,2.4597220514081907e-05,5098,5516,5934
148,1,1.2298610257040954e-05,4016,4016,4016
150,5,6.149305128520478e-05,4662,5231.6,5612
154,1,1.2298610257040954e-05,6548,6548,6548
162,1,1.2298610257040954e-05,4912,4912,4912
164,1,1.2298610257040954e-05,4326,4326,4326
166,2,2.4597220514081907e-05,5710,5894,6078
168,1,1.2298610257040954e-05,6048,6048,6048
170,1,1.2298610257040954e-05,5896,5896,5896
180,1,1.2298610257040954e-05,4906,4906,4906
182,1,1.2298610257040954e-05,6422,6422,6422
186,1,1.2298610257040954e-05,8572,8572,8572
188,1,1.2298610257040954e-05,6468,6468,6468
198,2,2.4597220514081907e-05,7864,8387,8910
206,1,1.2298610257040954e-05,7518,7518,7518
212,1,1.2298610257040954e-05,8184,8184,8184
222,1,1.2298610257040954e-05,7064,7064,7064
236,1,1.2298610257040954e-05,7152,7152,7152
280,1,1.2298610257040954e-05,9736,9736,9736
