match_mode,measure,measure_role,heldout_power,train_direction,eligible_cells,decisive_pairs,raw_signed_advantage,oriented_signed_advantage,tie_pairs,advantage_share
mod30_prev_gap_bin,divisor_mean,candidate,13,-1,685,6018,-225,225,3,0.0373878364905
mod30_prev_gap_bin,divisor_mean,candidate,14,-1,725,6253,-57,57,12,0.00911562450024
mod30_prev_gap_bin,divisor_mean,candidate,15,-1,732,6222,227,-227,9,-0.0364834458374
mod30_prev_gap_bin,divisor_mean,candidate,16,-1,697,6478,-446,446,2,0.0688484100031
mod30_prev_gap_bin,divisor_mean,candidate,17,-1,692,5847,154,-154,7,-0.0263382931418
mod30_prev_gap_bin,divisor_mean,candidate,18,-1,679,5636,284,-284,6,-0.0503903477644
mod30_prev_gap_bin,low_divisor_load,candidate,12,-1,736,5670,-45,45,1,0.00793650793651
mod30_prev_gap_bin,low_divisor_load,candidate,13,-1,685,6018,-120,120,0,0.0199401794616
mod30_prev_gap_bin,low_divisor_load,candidate,14,-1,725,6253,-130,130,1,0.02079002079
mod30_prev_gap_bin,low_divisor_load,candidate,15,-1,732,6222,84,-84,2,-0.0135004821601
mod30_prev_gap_bin,low_divisor_load,candidate,16,-1,697,6478,-213,213,3,0.0328805186786
mod30_prev_gap_bin,low_divisor_load,candidate,17,-1,692,5847,35,-35,0,-0.00598597571404
mod30_prev_gap_bin,low_divisor_load,candidate,18,-1,679,5636,-70,70,2,0.0124201561391
mod30_prev_gap_bin,tail_mod30,candidate,12,-1,736,5670,-286,286,2462,0.0504409171076
mod30_prev_gap_bin,tail_mod30,candidate,13,-1,685,6018,-112,112,2676,0.0186108341642
mod30_prev_gap_bin,tail_mod30,candidate,14,-1,725,6253,87,-87,2686,-0.0139133216056
mod30_prev_gap_bin,tail_mod30,candidate,15,-1,732,6222,-58,58,2566,0.00932176149148
mod30_prev_gap_bin,tail_mod30,candidate,16,-1,697,6478,158,-158,2738,-0.0243902439024
mod30_prev_gap_bin,tail_mod30,candidate,17,-1,692,5847,-105,105,2440,0.0179579271421
mod30_prev_gap_bin,tail_mod30,candidate,18,-1,679,5636,-51,51,2279,0.00904897090135
mod30_prev_gap_bin,tail_mod210,candidate,12,-1,736,5670,-5,5,1247,0.000881834215168
mod30_prev_gap_bin,tail_mod210,candidate,13,-1,685,6018,-145,145,1349,0.0240943835161
mod30_prev_gap_bin,tail_mod210,candidate,14,-1,725,6253,-154,154,1173,0.0246281784743
mod30_prev_gap_bin,tail_mod210,candidate,15,-1,732,6222,112,-112,1088,-0.0180006428801
mod30_prev_gap_bin,tail_mod210,candidate,16,-1,697,6478,-227,227,1151,0.0350416795307
mod30_prev_gap_bin,tail_mod210,candidate,17,-1,692,5847,-87,87,876,0.0148794253463
mod30_prev_gap_bin,tail_mod210,candidate,18,-1,679,5636,-42,42,860,0.00745209368346
mod30_prev_gap_bin,endpoint_mod210,candidate,12,-1,736,5670,-210,210,984,0.037037037037
mod30_prev_gap_bin,endpoint_mod210,candidate,13,-1,685,6018,-361,361,1061,0.059986706547
mod30_prev_gap_bin,endpoint_mod210,candidate,14,-1,725,6253,226,-226,1031,-0.0361426515273
mod30_prev_gap_bin,endpoint_mod210,candidate,15,-1,732,6222,390,-390,1086,-0.0626808100289
mod30_prev_gap_bin,endpoint_mod210,candidate,16,-1,697,6478,-76,76,1094,0.0117320160543
mod30_prev_gap_bin,endpoint_mod210,candidate,17,-1,692,5847,-170,170,981,0.0290747391825
mod30_prev_gap_bin,endpoint_mod210,candidate,18,-1,679,5636,110,-110,960,-0.0195173882186
mod30_prev_gap_bin,current_gap_width,candidate,12,-1,736,5670,-8,8,1246,0.00141093474427
mod30_prev_gap_bin,current_gap_width,candidate,13,-1,685,6018,-143,143,1349,0.0237620471918
mod30_prev_gap_bin,current_gap_width,candidate,14,-1,725,6253,-144,144,1171,0.0230289461059
mod30_prev_gap_bin,current_gap_width,candidate,15,-1,732,6222,81,-81,1087,-0.0130183220829
mod30_prev_gap_bin,current_gap_width,candidate,16,-1,697,6478,-244,244,1146,0.0376659462797
mod30_prev_gap_bin,current_gap_width,candidate,17,-1,692,5847,-65,65,858,0.0111168120404
mod30_prev_gap_bin,current_gap_width,candidate,18,-1,679,5636,-56,56,856,0.00993612491128
mod30_prev_gap_exact,tail_length,control,12,1,605,1556,-4,-4,548,-0.0025706940874
mod30_prev_gap_exact,tail_length,control,13,1,538,1336,103,103,431,0.0770958083832
mod30_prev_gap_exact,tail_length,control,14,1,567,1262,-18,-18,352,-0.0142630744849
mod30_prev_gap_exact,tail_length,control,15,1,532,1084,53,53,285,0.0488929889299
mod30_prev_gap_exact,tail_length,control,16,1,500,988,19,19,285,0.0192307692308
mod30_prev_gap_exact,tail_length,control,17,1,479,897,30,30,193,0.0334448160535
mod30_prev_gap_exact,tail_length,control,18,1,425,758,47,47,205,0.0620052770449
mod30_prev_gap_exact,d4_count,candidate,12,1,605,1556,10,10,258,0.00642673521851
mod30_prev_gap_exact,d4_count,candidate,13,1,538,1336,124,124,204,0.0928143712575
mod30_prev_gap_exact,d4_count,candidate,14,1,567,1262,-24,-24,188,-0.0190174326466
mod30_prev_gap_exact,d4_count,candidate,15,1,532,1084,86,86,160,0.0793357933579
mod30_prev_gap_exact,d4_count,candidate,16,1,500,988,10,10,142,0.0101214574899
mod30_prev_gap_exact,d4_count,candidate,17,1,479,897,78,78,103,0.0869565217391
mod30_prev_gap_exact,d4_count,candidate,18,1,425,758,15,15,125,0.0197889182058
mod30_prev_gap_exact,d4_span,candidate,12,1,605,1556,38,38,204,0.0244215938303
mod30_prev_gap_exact,d4_span,candidate,13,1,538,1336,117,117,143,0.0875748502994
mod30_prev_gap_exact,d4_span,candidate,14,1,567,1262,-29,-29,145,-0.0229793977813
mod30_prev_gap_exact,d4_span,candidate,15,1,532,1084,58,58,118,0.0535055350554
mod30_prev_gap_exact,d4_span,candidate,16,1,500,988,2,2,98,0.00202429149798
mod30_prev_gap_exact,d4_span,candidate,17,1,479,897,35,35,64,0.0390189520624
mod30_prev_gap_exact,d4_span,candidate,18,1,425,758,37,37,83,0.0488126649077
mod30_prev_gap_exact,d4_last_to_endpoint,candidate,12,1,605,1556,-54,-54,378,-0.0347043701799
mod30_prev_gap_exact,d4_last_to_endpoint,candidate,13,1,538,1336,-39,-39,259,-0.0291916167665
mod30_prev_gap_exact,d4_last_to_endpoint,candidate,14,-1,567,1262,53,-53,283,-0.0419968304279
mod30_prev_gap_exact,d4_last_to_endpoint,candidate,15,-1,532,1084,-24,24,236,0.0221402214022
mod30_prev_gap_exact,d4_last_to_endpoint,candidate,16,1,500,988,1,1,213,0.00101214574899
mod30_prev_gap_exact,d4_last_to_endpoint,candidate,17,1,479,897,-52,-52,151,-0.0579710144928
mod30_prev_gap_exact,d4_last_to_endpoint,candidate,18,-1,425,758,40,-40,146,-0.0527704485488
mod30_prev_gap_exact,d4_centroid_offset,candidate,12,1,605,1556,26,26,144,0.0167095115681
mod30_prev_gap_exact,d4_centroid_offset,candidate,13,1,538,1336,144,144,102,0.107784431138
mod30_prev_gap_exact,d4_centroid_offset,candidate,14,1,567,1262,-34,-34,118,-0.026941362916
mod30_prev_gap_exact,d4_centroid_offset,candidate,15,1,532,1084,68,68,88,0.0627306273063
mod30_prev_gap_exact,d4_centroid_offset,candidate,16,1,500,988,-9,-9,77,-0.00910931174089
mod30_prev_gap_exact,d4_centroid_offset,candidate,17,1,479,897,39,39,46,0.0434782608696
mod30_prev_gap_exact,d4_centroid_offset,candidate,18,1,425,758,43,43,71,0.05672823219
mod30_prev_gap_exact,divisor_sum,candidate,12,1,605,1556,6,6,6,0.00385604113111
mod30_prev_gap_exact,divisor_sum,candidate,13,1,538,1336,107,107,1,0.0800898203593
mod30_prev_gap_exact,divisor_sum,candidate,14,1,567,1262,-24,-24,2,-0.0190174326466
mod30_prev_gap_exact,divisor_sum,candidate,15,1,532,1084,34,34,2,0.0313653136531
mod30_prev_gap_exact,divisor_sum,candidate,16,1,500,988,19,19,1,0.0192307692308
mod30_prev_gap_exact,divisor_sum,candidate,17,1,479,897,18,18,1,0.0200668896321
mod30_prev_gap_exact,divisor_sum,candidate,18,1,425,758,92,92,0,0.121372031662
mod30_prev_gap_exact,divisor_mean,candidate,12,-1,605,1556,2,-2,6,-0.0012853470437
mod30_prev_gap_exact,divisor_mean,candidate,13,-1,538,1336,23,-23,1,-0.0172155688623
mod30_prev_gap_exact,divisor_mean,candidate,14,-1,567,1262,30,-30,2,-0.0237717908082
mod30_prev_gap_exact,divisor_mean,candidate,15,-1,532,1084,2,-2,2,-0.00184501845018
mod30_prev_gap_exact,divisor_mean,candidate,16,1,500,988,-31,-31,1,-0.0313765182186
mod30_prev_gap_exact,divisor_mean,candidate,17,-1,479,897,62,-62,1,-0.0691192865106
mod30_prev_gap_exact,divisor_mean,candidate,18,-1,425,758,104,-104,0,-0.137203166227
mod30_prev_gap_exact,low_divisor_load,candidate,12,1,605,1556,-7,-7,1,-0.00449871465296
mod30_prev_gap_exact,low_divisor_load,candidate,13,1,538,1336,102,102,0,0.0763473053892
mod30_prev_gap_exact,low_divisor_load,candidate,14,1,567,1262,-4,-4,0,-0.00316957210777
mod30_prev_gap_exact,low_divisor_load,candidate,15,1,532,1084,46,46,0,0.0424354243542
mod30_prev_gap_exact,low_divisor_load,candidate,16,1,500,988,-22,-22,0,-0.0222672064777
mod30_prev_gap_exact,low_divisor_load,candidate,17,1,479,897,79,79,0,0.0880713489409
mod30_prev_gap_exact,low_divisor_load,candidate,18,1,425,758,38,38,0,0.0501319261214
mod30_prev_gap_exact,tail_mod30,candidate,12,1,605,1556,16,16,1062,0.0102827763496
mod30_prev_gap_exact,tail_mod30,candidate,13,1,538,1336,-12,-12,914,-0.00898203592814
mod30_prev_gap_exact,tail_mod30,candidate,14,1,567,1262,-36,-36,858,-0.0285261489699
mod30_prev_gap_exact,tail_mod30,candidate,15,1,532,1084,32,32,728,0.029520295203
