evaluation_label,feature_kind,top_feature_share,train_feature_count,selected_feature_count,train_high_exit_count,eval_event_count,eval_high_exit_count,eval_background_high_exit_rate,eval_background_exposure_count,eval_background_exposure_share,captured_high_exit_count,high_exit_capture_share,high_exit_rate_inside_selected,high_exit_rate_lift_vs_background
exact_baseline_heldout,current_lifted_state,0.05,56,3,2997,39249,2804,0.07144131060663966,9061,0.23085938495248287,758,0.2703281027104137,0.08365522569252842,1.1709643199736262
sampled_decade_windows,current_lifted_state,0.05,56,3,2997,3048,134,0.043963254593175856,799,0.26213910761154857,33,0.2462686567164179,0.04130162703379224,0.9394579044701399
exact_baseline_heldout,current_lifted_state,0.1,56,6,2997,39249,2804,0.07144131060663966,17987,0.45827919182654336,1405,0.5010699001426534,0.07811196975593485,1.0933725752320567
sampled_decade_windows,current_lifted_state,0.1,56,6,2997,3048,134,0.043963254593175856,1543,0.506233595800525,65,0.48507462686567165,0.04212572909915749,0.9582031514494926
exact_baseline_heldout,current_lifted_state,0.2,56,12,2997,39249,2804,0.07144131060663966,27100,0.6904634512981223,2175,0.7756776034236804,0.08025830258302583,1.1234158766338018
sampled_decade_windows,current_lifted_state,0.2,56,12,2997,3048,134,0.043963254593175856,2247,0.7372047244094488,109,0.8134328358208955,0.04850912327547842,1.1034015503258074
exact_baseline_heldout,lag2_arrival_pair,0.05,946,48,2997,39249,2804,0.07144131060663966,13245,0.3374608270274402,1061,0.3783880171184023,0.08010570026425066,1.1212798251325158
sampled_decade_windows,lag2_arrival_pair,0.05,946,48,2997,3048,134,0.043963254593175856,854,0.28018372703412076,36,0.26865671641791045,0.04215456674473068,0.9588591002831276
exact_baseline_heldout,lag2_arrival_pair,0.1,946,95,2997,39249,2804,0.07144131060663966,19979,0.5090320772503758,1607,0.5731098430813124,0.08043445617898794,1.125881587221504
sampled_decade_windows,lag2_arrival_pair,0.1,946,95,2997,3048,134,0.043963254593175856,1367,0.44849081364829396,63,0.4701492537313433,0.046086320409656184,1.0482918254375526
exact_baseline_heldout,lag2_arrival_pair,0.2,946,190,2997,39249,2804,0.07144131060663966,26885,0.6849856047287829,2160,0.7703281027104137,0.08034219825181328,1.1245902065568543
sampled_decade_windows,lag2_arrival_pair,0.2,946,190,2997,3048,134,0.043963254593175856,1908,0.6259842519685039,83,0.6194029850746269,0.04350104821802935,0.9894865296160705
