scale,q,candidate,factor_signature,fourth_factor,fourth_remainder,fifth_factor,fifth_remainder,fifth_remainder_tau,fifth_remainder_family,fifth_remainder_signature,fifth_strip_terminal,fifth_strip_accounted
1000000000000000000,999999999999996791,999999999999996793,7^2*59*281*1061*3571*324893,281,1230964670083,1061,1160192903,4,semiprime_distinct,3571*324893,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999989441,999999999999989443,7^3*13^2*6701*2574420929,13,224265530387977,13,17251194645229,4,semiprime_distinct,6701*2574420929,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999984449,999999999999984451,13*29*79*389*1663*4007*12953,389,86314141873,1663,51902671,4,semiprime_distinct,4007*12953,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999981719,999999999999981721,13*19*37*43*683*1601*2327131,43,2544678187273,683,3725736731,4,semiprime_distinct,1601*2327131,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999958571,999999999999958573,7^4*11^2*17*21617*9366517,7,416493127863373,11,37863011623943,16,multi_prime_family,11*17*21617*9366517,sixth_layer_multi_prime,False
1000000000000000000,999999999999925949,999999999999925951,13*67*73*127*443*1087*257171,127,123838380511,443,279544877,4,semiprime_distinct,1087*257171,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999921467,999999999999921469,23*31*41*179*3301*4679*12373,179,191105674367,3301,57893267,4,semiprime_distinct,4679*12373,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999916067,999999999999916069,7*11*29*71*283*9391*2373311,71,6307437099083,283,22287763601,4,semiprime_distinct,9391*2373311,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999905357,999999999999905359,7^2*13*179*977*8053*1114693,179,8770160406233,977,8976622729,4,semiprime_distinct,8053*1114693,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999901577,999999999999901579,7*19*37*47*1447*25469*117319,47,4323632543117,1447,2987997611,4,semiprime_distinct,25469*117319,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999898697,999999999999898699,17*23*61*173*181*7907*169339,173,242352388613,181,1338963473,4,semiprime_distinct,7907*169339,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999893597,999999999999893599,7^2*17*19*97*1451*3191*140681,19,63183168004037,97,651372866021,8,multi_prime_family,1451*3191*140681,sixth_layer_multi_prime,False
1000000000000000000,999999999999887027,999999999999887029,11*13^3*41*593*1701918299,13,41378739603587,41,1009237551307,4,semiprime_distinct,593*1701918299,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999876269,999999999999876271,11*19*31*37^2*3449*32688529,37,4171481251277,37,112742736521,4,semiprime_distinct,3449*32688529,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999873809,999999999999873811,17*61*83*97*2357*3733*13613,97,119776444453,2357,50817329,4,semiprime_distinct,3733*13613,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999848741,999999999999848743,7*23*31*37*181*257*116412337,37,5415152680229,181,29917970609,4,semiprime_distinct,257*116412337,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999839207,999999999999839209,7^3*53*101*277*641*3067403,53,55008526321571,101,544638874471,8,multi_prime_family,277*641*3067403,sixth_layer_multi_prime,False
1000000000000000000,999999999999828617,999999999999828619,11^3*19*1229*6701*4801499,19,39542884257971,1229,32174844799,4,semiprime_distinct,6701*4801499,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999822281,999999999999822283,7*11*29*211*911*3391*687041,211,2122407744241,911,2329756031,4,semiprime_distinct,3391*687041,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999803339,999999999999803341,7^2*11*23*67*239*1289*3908029,23,80664676937953,67,1203950402059,8,multi_prime_family,239*1289*3908029,sixth_layer_multi_prime,False
1000000000000000000,999999999999795947,999999999999795949,7*11^2*157*1697*3413*1298371,157,7519984358431,1697,4431340223,4,semiprime_distinct,3413*1298371,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999792317,999999999999792319,11^2*41*331*761*24859*32191,331,608979648509,761,800236069,4,semiprime_distinct,24859*32191,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999790697,999999999999790699,7^2*13^2*139*379*16417*139627,13,120758362516579,139,868765197961,8,multi_prime_family,379*16417*139627,sixth_layer_multi_prime,False
1000000000000000000,999999999999789059,999999999999789061,7*13*19*47*661*71647*259841,47,12305723391947,661,18616828127,4,semiprime_distinct,71647*259841,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999778061,999999999999778063,11*13*31*47*353*431*31546591,47,4799592994513,353,13596580721,4,semiprime_distinct,431*31546591,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999776807,999999999999776809,11*17*67^2*103*563*20542967,67,1191266113363,103,11565690421,4,semiprime_distinct,563*20542967,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999764669,999999999999764671,17*31*101*137*977*1289*108893,137,137134726229,977,140363077,4,semiprime_distinct,1289*108893,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999762221,999999999999762223,7*11*17*251*3719*11239*72817,251,3043593388097,3719,818390263,4,semiprime_distinct,11239*72817,fifth_strip_semiprime_distinct,True
