prefix_index,current_endpoint,next_endpoint,actual_next_gap,transfer_ceiling,ceiling_margin,right_edge_tail,first_open_offset,winner_d,winner_offset,carrier_family,type_key
57,271,277,6,78,72,2 2 2 2 2 2 0 2 0 0 2 1,6,4,3,even_semiprime,o6_d4_a3_even_semiprime
58,277,281,4,74,70,0 2 0 2 0 2 2 0 0 0 2 1,4,4,1,even_semiprime,o4_d4_a1_even_semiprime
59,281,283,2,76,74,2 0 0 2 2 0 2 2 2 2 0 1,2,8,1,higher_divisor_even,o2_d8_a1_higher_divisor_even
60,283,293,10,64,54,0 0 0 2 0 0 2 0 2 0 0 1,4,3,6,prime_square,o4_d3_a6_prime_square
61,293,307,14,96,82,2 2 2 0 0 0 2 2 0 0 0 1,6,4,2,odd_semiprime,o6_d4_a2_odd_semiprime
62,307,311,4,82,78,0 2 0 0 0 0 2 0 0 0 0 1,4,4,2,odd_semiprime,o4_d4_a2_odd_semiprime
63,311,313,2,88,86,0 2 2 2 2 2 0 0 0 0 0 1,2,16,1,higher_divisor_even,o2_d16_a1_higher_divisor_even
64,313,317,4,72,68,2 0 2 0 2 0 0 0 0 0 0 1,4,4,1,even_semiprime,o4_d4_a1_even_semiprime
65,317,331,14,104,90,2 2 0 0 2 2 2 2 2 2 2 1,2,4,2,odd_semiprime,o2_d4_a2_odd_semiprime
67,337,347,10,86,76,0 2 0 2 2 0 0 2 2 0 0 1,4,4,2,odd_semiprime,o4_d4_a2_odd_semiprime
68,347,349,2,86,84,0 2 2 0 2 2 2 0 2 2 2 1,2,12,1,higher_divisor_even,o2_d12_a1_higher_divisor_even
69,349,353,4,102,98,2 0 2 2 0 2 0 0 2 0 2 1,4,8,2,higher_divisor_odd,o4_d8_a2_higher_divisor_odd
70,353,359,6,88,82,2 2 0 2 2 0 0 0 2 2 0 1,6,4,2,odd_semiprime,o6_d4_a2_odd_semiprime
71,359,367,8,72,64,2 0 0 2 0 0 0 0 2 0 0 1,2,3,2,prime_square,o2_d3_a2_prime_square
72,367,373,6,90,84,2 2 2 0 0 0 0 0 2 2 2 1,4,4,4,odd_semiprime,o4_d4_a4_odd_semiprime
73,373,379,6,88,82,0 2 0 0 0 0 0 0 2 0 2 1,4,4,4,odd_semiprime,o4_d4_a4_odd_semiprime
74,379,383,4,88,84,2 0 0 0 0 0 0 0 2 2 0 1,4,4,2,odd_semiprime,o4_d4_a2_odd_semiprime
75,383,389,6,100,94,2 2 2 2 2 2 2 2 0 2 2 1,6,4,3,even_semiprime,o6_d4_a3_even_semiprime
76,389,397,8,74,66,2 0 2 0 2 0 2 0 0 2 0 1,2,4,2,odd_semiprime,o2_d4_a2_odd_semiprime
77,397,401,4,82,78,0 0 2 2 0 0 2 2 2 0 0 1,4,4,1,even_semiprime,o4_d4_a1_even_semiprime
78,401,409,8,86,78,2 2 0 2 2 2 0 2 0 0 0 1,2,4,2,odd_semiprime,o2_d4_a2_odd_semiprime
79,409,419,10,84,74,2 0 0 2 0 2 2 0 0 0 0 1,4,4,2,odd_semiprime,o4_d4_a2_odd_semiprime
80,419,421,2,86,84,2 2 2 0 0 2 0 0 0 0 0 1,2,24,1,higher_divisor_even,o2_d24_a1_higher_divisor_even
81,421,431,10,92,82,0 2 0 0 0 2 2 2 2 2 2 1,6,4,1,even_semiprime,o6_d4_a1_even_semiprime
82,431,433,2,102,100,2 0 0 0 0 2 0 2 0 2 0 1,2,20,1,higher_divisor_even,o2_d20_a1_higher_divisor_even
83,433,439,6,102,96,0 0 0 0 0 2 2 0 0 2 2 1,4,4,4,odd_semiprime,o4_d4_a4_odd_semiprime
85,443,449,6,102,96,2 0 2 0 2 2 0 2 0 0 2 1,6,4,2,odd_semiprime,o6_d4_a2_odd_semiprime
86,449,457,8,100,92,0 0 2 2 0 2 2 0 0 0 2 1,2,4,2,odd_semiprime,o2_d4_a2_odd_semiprime
87,457,461,4,98,94,0 0 2 0 0 2 0 0 0 0 2 1,4,4,1,even_semiprime,o4_d4_a1_even_semiprime
88,461,463,2,100,98,2 2 0 0 0 2 2 2 2 2 0 1,2,16,1,higher_divisor_even,o2_d16_a1_higher_divisor_even
89,463,467,4,92,88,0 2 2 2 2 0 2 0 2 0 0 1,4,4,3,even_semiprime,o4_d4_a3_even_semiprime
90,467,479,12,96,84,2 0 2 0 2 2 0 0 2 2 2 1,2,4,2,odd_semiprime,o2_d4_a2_odd_semiprime
93,491,499,8,100,92,2 0 2 0 0 0 0 0 2 0 0 1,2,4,2,odd_semiprime,o2_d4_a2_odd_semiprime
95,503,509,6,100,94,2 0 0 0 0 0 0 0 2 0 2 1,6,4,2,odd_semiprime,o6_d4_a2_odd_semiprime
96,509,521,12,98,86,0 0 0 0 0 0 0 0 2 2 0 1,2,4,2,odd_semiprime,o2_d4_a2_odd_semiprime
98,523,541,18,108,90,2 2 2 2 2 2 2 2 0 0 0 1,4,3,6,prime_square,o4_d3_a6_prime_square
100,547,557,10,110,100,0 0 2 2 0 0 2 2 2 2 2 1,4,4,4,odd_semiprime,o4_d4_a4_odd_semiprime
105,577,587,10,100,90,0 0 0 0 0 0 2 0 2 0 0 1,4,4,2,odd_semiprime,o4_d4_a2_odd_semiprime
