n,candidate_bound,factor_bound,wheel_open_count,closed_count,open_count,closure_rate,first_open_offset,audit_q,audit_gap,pre_q_open_count,pre_q_all_closed,q_closed,first_open_matches_q
1000,4096,10000,1093,581,512,0.5315645013723697,9,1009,9,0,True,False,True
10000,4096,10000,1093,660,433,0.6038426349496798,7,10007,7,0,True,False,True
100000,4096,10000,1093,743,350,0.6797804208600183,3,100003,3,0,True,False,True
1000000,4096,10000,1093,781,312,0.7145471180237878,3,1000003,3,0,True,False,True
10000000,4096,10000,1093,842,251,0.7703568161024703,19,10000019,19,0,True,False,True
100000000,4096,10000,1093,865,228,0.7913998170173834,7,100000007,7,0,True,False,True
1000000000,4096,10000,1093,863,230,0.7895699908508692,7,1000000007,7,0,True,False,True
10000000000,4096,10000,1093,857,236,0.7840805123513266,9,10000000019,19,2,False,False,False
100000000000,4096,10000,1093,834,259,0.7630375114364135,3,100000000003,3,0,True,False,True
1000000000000,4096,10000,1093,846,247,0.7740164684354987,7,1000000000039,39,1,False,False,False
10000000000000,4096,10000,1093,834,259,0.7630375114364135,37,10000000000037,37,0,True,False,True
100000000000000,4096,10000,1093,854,239,0.7813357731015553,31,100000000000031,31,0,True,False,True
1000000000000000,4096,10000,1093,840,253,0.7685269899359561,3,1000000000000037,37,3,False,False,False
10000000000000000,4096,10000,1093,853,240,0.7804208600182982,37,10000000000000061,61,3,False,False,False
100000000000000000,4096,10000,1093,862,231,0.7886550777676121,3,100000000000000003,3,0,True,False,True
1000000000000000000,4096,10000,1093,856,237,0.7831655992680695,3,1000000000000000003,3,0,True,False,True
1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4096,10000,1093,854,239,0.7813357731015553,37,,,0,,,
