q,q_mod30,w,tau_w,candidate,candidate_mod30,status,endpoint_class,tau_candidate,endpoint_fixed_point,endpoint_family,factor_signature,least_factor,least_factor_mod30,cofactor,cofactor_mod30,cofactor_tau,cofactor_family,reduced_obstruction_family,low_complexity_cofactor_obstruction,higher_cofactor_obstruction,second_factor,second_factor_mod30,second_remainder,second_remainder_mod30,second_remainder_tau,second_remainder_family,second_strip_family,second_strip_low_complexity_remainder,third_factor,third_factor_mod30,third_remainder,third_remainder_mod30,third_remainder_tau,third_remainder_family,third_strip_family,third_strip_low_complexity_remainder,third_strip_prime_power_tail
814061,11,814062,32,814063,13,unresolved,prime_closure,2,True,fixed_point,814063,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814067,17,814068,18,814069,19,unresolved,prime_closure,2,True,fixed_point,814069,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814097,17,814098,16,814099,19,excluded,composite_obstruction,8,False,multi_prime_family,11*13*5693,11,11,74009,29,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814127,17,814128,40,814129,19,unresolved,prime_closure,2,True,fixed_point,814129,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814139,29,814140,36,814141,1,excluded,composite_obstruction,4,False,semiprime_distinct,59*13799,59,29,13799,29,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814199,29,814200,96,814201,1,excluded,composite_obstruction,4,False,semiprime_distinct,197*4133,197,17,4133,23,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814211,11,814212,60,814213,13,unresolved,prime_closure,2,True,fixed_point,814213,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814241,11,814242,48,814243,13,unresolved,prime_closure,2,True,fixed_point,814243,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814337,17,814338,48,814339,19,excluded,composite_obstruction,8,False,multi_prime_family,31*109*241,31,1,26269,19,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814367,17,814368,48,814369,19,excluded,composite_obstruction,4,False,semiprime_distinct,47*17327,47,17,17327,17,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814379,29,814380,72,814381,1,unresolved,prime_closure,2,True,fixed_point,814381,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814469,29,814470,32,814471,1,excluded,composite_obstruction,8,False,multi_prime_family,7*307*379,7,7,116353,13,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814559,29,814560,48,814561,1,excluded,composite_obstruction,4,False,semiprime_distinct,11*74051,11,11,74051,11,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814577,17,814578,16,814579,19,unresolved,prime_closure,2,True,fixed_point,814579,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814601,11,814602,16,814603,13,unresolved,prime_closure,2,True,fixed_point,814603,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814631,11,814632,64,814633,13,unresolved,prime_closure,2,True,fixed_point,814633,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814799,29,814800,120,814801,1,excluded,composite_obstruction,8,False,multi_prime_family,13*233*269,13,13,62677,7,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814829,29,814830,32,814831,1,excluded,composite_obstruction,4,False,semiprime_distinct,457*1783,457,7,1783,13,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814841,11,814842,48,814843,13,excluded,composite_obstruction,4,False,semiprime_distinct,113*7211,113,23,7211,11,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814859,29,814860,60,814861,1,excluded,composite_obstruction,4,False,semiprime_distinct,17*47933,17,17,47933,23,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814889,29,814890,32,814891,1,excluded,composite_obstruction,16,False,multi_prime_family,7*11*19*557,7,7,116413,13,8,multi_prime_family,least_factor_times_higher_cofactor,False,True,11,11,10583,23,4,semiprime_distinct,second_factor_times_semiprime_remainder,True,,,,,,,not_third_stripped,False,False
814901,11,814902,16,814903,13,unresolved,prime_closure,2,True,fixed_point,814903,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814937,17,814938,16,814939,19,unresolved,prime_closure,2,True,fixed_point,814939,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814949,29,814950,36,814951,1,excluded,composite_obstruction,4,False,semiprime_distinct,131*6221,131,11,6221,11,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
814991,11,814992,20,814993,13,excluded,composite_obstruction,4,False,semiprime_distinct,109*7477,109,19,7477,7,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
815141,11,815142,16,815143,13,excluded,composite_obstruction,16,False,multi_prime_family,7*23*61*83,7,7,116449,19,8,multi_prime_family,least_factor_times_higher_cofactor,False,True,23,23,5063,23,4,semiprime_distinct,second_factor_times_semiprime_remainder,True,,,,,,,not_third_stripped,False,False
815159,29,815160,32,815161,1,excluded,composite_obstruction,4,False,semiprime_distinct,29*28109,29,29,28109,29,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
815231,11,815232,64,815233,13,excluded,composite_obstruction,8,False,multi_prime_family,19*107*401,19,19,42907,7,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
815261,11,815262,48,815263,13,excluded,composite_obstruction,4,False,semiprime_distinct,701*1163,701,11,1163,23,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
815279,29,815280,80,815281,1,excluded,composite_obstruction,4,False,semiprime_distinct,23*35447,23,23,35447,17,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
815291,11,815292,24,815293,13,excluded,composite_obstruction,4,False,semiprime_distinct,71*11483,71,11,11483,23,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
815351,11,815352,32,815353,13,excluded,composite_obstruction,8,False,multi_prime_family,7*11*10589,7,7,116479,19,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
815411,11,815412,24,815413,13,unresolved,prime_closure,2,True,fixed_point,815413,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
815417,17,815418,24,815419,19,excluded,composite_obstruction,12,False,multi_prime_family,11^2*23*293,11,11,74129,29,8,multi_prime_family,least_factor_times_higher_cofactor,False,True,11,11,6739,19,4,semiprime_distinct,second_factor_times_semiprime_remainder,True,,,,,,,not_third_stripped,False,False
815459,29,815460,24,815461,1,excluded,composite_obstruction,8,False,multi_prime_family,19*167*257,19,19,42919,19,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
815471,11,815472,60,815473,13,excluded,composite_obstruction,4,False,semiprime_distinct,17*47969,17,17,47969,29,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
815501,11,815502,16,815503,13,excluded,composite_obstruction,4,False,semiprime_distinct,13*62731,13,13,62731,1,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
815519,29,815520,48,815521,1,excluded,composite_obstruction,8,False,multi_prime_family,7*113*1031,7,7,116503,13,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
815621,11,815622,8,815623,13,unresolved,prime_closure,2,True,fixed_point,815623,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
815627,17,815628,48,815629,19,excluded,composite_obstruction,4,False,semiprime_distinct,73*11173,73,13,11173,13,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
815669,29,815670,80,815671,1,unresolved,prime_closure,2,True,fixed_point,815671,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
815681,11,815682,16,815683,13,excluded,composite_obstruction,8,False,multi_prime_family,11*29*2557,11,11,74153,23,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
815687,17,815688,24,815689,19,excluded,composite_obstruction,8,False,multi_prime_family,7*19*6133,7,7,116527,7,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
