residue_path_shape,third_higher_count,tail_count,tail_rate,high_exponent_tail_count,high_exponent_tail_rate
mixed,124,6,0.04838709677419355,0,0.0
repeated_7,47,7,0.14893617021276595,2,0.0425531914893617
repeated_11,8,0,0.0,0,0.0
repeated_13,3,1,0.3333333333333333,0,0.0
repeated_29,1,0,0.0,0,0.0
