scale,q,candidate,endpoint_factor_signature,endpoint_omega,endpoint_big_omega,strip_prefix_5,fifth_remainder,fifth_remainder_signature,fifth_remainder_tau,fifth_remainder_omega,fifth_remainder_big_omega,sixth_layer_normal_form
1000000000000000000,999999999999958571,999999999999958573,7^4*11^2*17*21617*9366517,5,9,7*7*7*7*11,37863011623943,11*17*21617*9366517,16,4,4,distinct_4_prime_product
1000000000000000000,999999999999893597,999999999999893599,7^2*17*19*97*1451*3191*140681,7,8,7*7*17*19*97,651372866021,1451*3191*140681,8,3,3,distinct_3_prime_product
1000000000000000000,999999999999839207,999999999999839209,7^3*53*101*277*641*3067403,6,8,7*7*7*53*101,544638874471,277*641*3067403,8,3,3,distinct_3_prime_product
1000000000000000000,999999999999803339,999999999999803341,7^2*11*23*67*239*1289*3908029,7,8,7*7*11*23*67,1203950402059,239*1289*3908029,8,3,3,distinct_3_prime_product
1000000000000000000,999999999999790697,999999999999790699,7^2*13^2*139*379*16417*139627,6,8,7*7*13*13*139,868765197961,379*16417*139627,8,3,3,distinct_3_prime_product
1000000000000000000,999999999999699011,999999999999699013,7*23^2*31*83*2621*5869*6823,7,8,7*23*23*31*83,104955814127,2621*5869*6823,8,3,3,distinct_3_prime_product
1000000000000000000,999999999999641639,999999999999641641,7^4*11*13^2*761*2917*100927,6,10,7*7*7*7*11,37863011623931,13^2*761*2917*100927,24,4,5,one_square_3_distinct_prime_product
1000000000000000000,999999999999614381,999999999999614383,7*11*31*53*101*773*1279*79159,8,8,7*11*31*53*101,78261891053,773*1279*79159,8,3,3,distinct_3_prime_product
1000000000000000000,999999999999540797,999999999999540799,7^4*43*809*54647*219091,5,8,7*7*7*7*43,9685886694493,809*54647*219091,8,3,3,distinct_3_prime_product
