q,q_mod30,w,tau_w,candidate,candidate_mod30,status,endpoint_class,tau_candidate,endpoint_fixed_point,endpoint_family,factor_signature,least_factor,least_factor_mod30,cofactor,cofactor_mod30,cofactor_tau,cofactor_family,reduced_obstruction_family,low_complexity_cofactor_obstruction,higher_cofactor_obstruction,second_factor,second_factor_mod30,second_remainder,second_remainder_mod30,second_remainder_tau,second_remainder_family,second_strip_family,second_strip_low_complexity_remainder,third_factor,third_factor_mod30,third_remainder,third_remainder_mod30,third_remainder_tau,third_remainder_family,third_strip_family,third_strip_low_complexity_remainder,third_strip_prime_power_tail
123821,11,123822,16,123823,13,excluded,composite_obstruction,12,False,two_prime_power_family,7^3*19^2,7,7,17689,19,9,two_prime_power_family,least_factor_times_higher_cofactor,False,True,7,7,2527,7,6,two_prime_power_family,second_factor_times_higher_remainder,False,7,7,361,1,3,prime_square,third_factor_times_higher_remainder,False,True
143141,11,143142,8,143143,13,excluded,composite_obstruction,18,False,multi_prime_family,7*11^2*13^2,7,7,20449,19,9,two_prime_power_family,least_factor_times_higher_cofactor,False,True,11,11,1859,29,6,two_prime_power_family,second_factor_times_higher_remainder,False,11,11,169,19,3,prime_square,third_factor_times_higher_remainder,False,True
244781,11,244782,20,244783,13,excluded,composite_obstruction,18,False,multi_prime_family,7*11^2*17^2,7,7,34969,19,9,two_prime_power_family,least_factor_times_higher_cofactor,False,True,11,11,3179,29,6,two_prime_power_family,second_factor_times_higher_remainder,False,11,11,289,19,3,prime_square,third_factor_times_higher_remainder,False,True
288461,11,288462,16,288463,13,excluded,composite_obstruction,12,False,two_prime_power_family,7^3*29^2,7,7,41209,19,9,two_prime_power_family,least_factor_times_higher_cofactor,False,True,7,7,5887,7,6,two_prime_power_family,second_factor_times_higher_remainder,False,7,7,841,1,3,prime_square,third_factor_times_higher_remainder,False,True
371291,11,371292,12,371293,13,excluded,composite_obstruction,6,False,prime_power,13^5,13,13,28561,1,5,prime_power,least_factor_times_higher_cofactor,False,True,13,13,2197,7,4,prime_cube,second_factor_times_higher_remainder,False,13,13,169,19,3,prime_square,third_factor_times_higher_remainder,False,True
405767,17,405768,64,405769,19,excluded,composite_obstruction,15,False,two_prime_power_family,7^4*13^2,7,7,57967,7,12,two_prime_power_family,least_factor_times_higher_cofactor,False,True,7,7,8281,1,9,two_prime_power_family,second_factor_times_higher_remainder,False,7,7,1183,13,6,two_prime_power_family,third_factor_times_higher_remainder,False,True
576581,11,576582,8,576583,13,excluded,composite_obstruction,12,False,two_prime_power_family,7^3*41^2,7,7,82369,19,9,two_prime_power_family,least_factor_times_higher_cofactor,False,True,7,7,11767,7,6,two_prime_power_family,second_factor_times_higher_remainder,False,7,7,1681,1,3,prime_square,third_factor_times_higher_remainder,False,True
692459,29,692460,36,692461,1,excluded,composite_obstruction,24,False,multi_prime_family,7*11*17*23^2,7,7,98923,13,12,multi_prime_family,least_factor_times_higher_cofactor,False,True,11,11,8993,23,6,two_prime_power_family,second_factor_times_higher_remainder,False,17,17,529,19,3,prime_square,third_factor_times_higher_remainder,False,True
702557,17,702558,24,702559,19,excluded,composite_obstruction,16,False,multi_prime_family,11*13*17^3,11,11,63869,29,8,two_prime_power_family,least_factor_times_higher_cofactor,False,True,13,13,4913,23,4,prime_cube,second_factor_times_higher_remainder,False,17,17,289,19,3,prime_square,third_factor_times_higher_remainder,False,True
753569,29,753570,32,753571,1,excluded,composite_obstruction,16,False,two_prime_power_family,7^3*13^3,7,7,107653,13,12,two_prime_power_family,least_factor_times_higher_cofactor,False,True,7,7,15379,19,8,two_prime_power_family,second_factor_times_higher_remainder,False,7,7,2197,7,4,prime_cube,third_factor_times_higher_remainder,False,True
823541,11,823542,16,823543,13,excluded,composite_obstruction,8,False,prime_power,7^7,7,7,117649,19,7,prime_power,least_factor_times_higher_cofactor,False,True,7,7,16807,7,6,prime_power,second_factor_times_higher_remainder,False,7,7,2401,1,5,prime_power,third_factor_times_higher_remainder,False,True
866759,29,866760,64,866761,1,excluded,composite_obstruction,15,False,two_prime_power_family,7^4*19^2,7,7,123823,13,12,two_prime_power_family,least_factor_times_higher_cofactor,False,True,7,7,17689,19,9,two_prime_power_family,second_factor_times_higher_remainder,False,7,7,2527,7,6,two_prime_power_family,third_factor_times_higher_remainder,False,True
894689,29,894690,24,894691,1,excluded,composite_obstruction,18,False,multi_prime_family,7^2*19*31^2,7,7,127813,13,12,multi_prime_family,least_factor_times_higher_cofactor,False,True,7,7,18259,19,6,two_prime_power_family,second_factor_times_higher_remainder,False,19,19,961,1,3,prime_square,third_factor_times_higher_remainder,False,True
994901,11,994902,8,994903,13,excluded,composite_obstruction,18,False,multi_prime_family,7*13^2*29^2,7,7,142129,19,9,two_prime_power_family,least_factor_times_higher_cofactor,False,True,13,13,10933,13,6,two_prime_power_family,second_factor_times_higher_remainder,False,13,13,841,1,3,prime_square,third_factor_times_higher_remainder,False,True
