field,decile,count,min_value,mean_value,max_value,mean_gap,mean_next_gap,mean_gap_delta,next_gap_le_current_share,mean_next_gap_divisor_count,surface
gap_divisor_count,1,8129,6.0,24.792717431418378,38.0,2.6569073686800344,13.652847828761224,10.99594046008119,0.0493295608315906,189.69528847336696,all
gap_divisor_count,2,8130,38.0,49.89348093480935,60.0,4.361131611316114,12.914145141451414,8.553013530135301,0.21832718327183273,181.57023370233702,all
gap_divisor_count,3,8130,60.0,70.75768757687577,82.0,5.416236162361623,12.99458794587946,7.578351783517835,0.3060270602706027,181.9528905289053,all
gap_divisor_count,4,8130,82.0,95.00516605166051,108.0,7.065190651906519,13.034440344403444,5.969249692496925,0.3773677736777368,182.95338253382533,all
gap_divisor_count,5,8130,108.0,122.37847478474785,138.0,9.088314883148831,12.965067650676506,3.8767527675276754,0.46777367773677736,183.43960639606397,all
gap_divisor_count,6,8129,138.0,154.62295485299543,174.0,11.145774387993603,13.034567597490467,1.8887932094968631,0.5725181449132735,186.97281338418009,all
gap_divisor_count,7,8130,174.0,195.45571955719558,220.0,14.01180811808118,12.630258302583027,-1.381549815498155,0.6861008610086101,182.32607626076262,all
gap_divisor_count,8,8130,220.0,252.08634686346863,288.0,17.676014760147602,12.994833948339483,-4.681180811808118,0.7628536285362854,190.7950799507995,all
gap_divisor_count,9,8130,288.0,337.21722017220173,400.0,23.35350553505535,12.84821648216482,-10.505289052890529,0.8484624846248463,194.8,all
gap_divisor_count,10,8130,400.0,746.490774907749,9736.0,38.77933579335793,16.49889298892989,-22.280442804428045,0.8965559655596556,374.90639606396064,all
normalized_load,1,8129,0.3139364146364202,0.7995714330139065,0.9079993979981335,9.273219338171977,14.713494894821011,5.440275556649034,0.37384672161397464,275.7570426866773,all
normalized_load,2,8130,0.9080077232387073,0.9555241404668732,0.9954126130824783,14.982779827798279,13.659778597785978,-1.3230012300123002,0.572939729397294,235.56715867158672,all
normalized_load,3,8130,0.9954201529194638,1.0258170565608078,1.053871668566421,18.601722017220172,13.085854858548586,-5.515867158671587,0.667650676506765,212.73960639606395,all
normalized_load,4,8130,1.0538728477156718,1.0782151621172575,1.1023598738484908,20.39409594095941,12.733825338253382,-7.660270602706027,0.7001230012300123,195.85350553505535,all
normalized_load,5,8130,1.1023626584328863,1.126741992185028,1.15143925897242,19.07257072570726,12.705535055350554,-6.367035670356704,0.6969249692496925,188.40332103321032,all
normalized_load,6,8129,1.151439984132829,1.178173558648151,1.207907029314899,15.958666502644851,12.788042809693689,-3.1706236929511626,0.6142206913519498,184.33091401156355,all
normalized_load,7,8130,1.2079098755537714,1.244980505399085,1.2861637274830613,13.399753997539975,12.976875768757688,-0.4228782287822878,0.570479704797048,186.1489544895449,all
normalized_load,8,8130,1.2861723694653961,1.344841348657109,1.4186140463875105,10.7070110701107,13.151537515375153,2.4445264452644526,0.49384993849938497,184.79876998769987,all
normalized_load,9,8130,1.4186216113691055,1.5516033456206662,1.7521423147325936,7.80639606396064,13.468880688806887,5.662484624846249,0.39114391143911437,188.01722017220172,all
normalized_load,10,8130,1.7521967513127454,3.1820007161866384,24.848705409050925,3.3594095940959408,14.284132841328413,10.924723247232473,0.10418204182041821,197.80553505535056,all
density,1,8129,4.333333333333333,10.085928593249445,11.555555555555555,8.816336572764177,11.808094476565383,2.9917579038012057,0.4372001476196334,166.06692090047977,all
density,2,8130,11.555555555555555,12.16721015991827,12.727272727272727,12.76408364083641,12.201722017220172,-0.5623616236162362,0.5520295202952029,174.60282902829027,all
density,3,8130,12.727272727272727,13.167770403832593,13.6,16.091020910209103,12.262976629766298,-3.8280442804428043,0.6500615006150061,173.7421894218942,all
density,4,8130,13.6,13.957572202474557,14.363636363636363,18.877736777367772,12.431980319803198,-6.445756457564576,0.6998769987699877,176.67638376383763,all
density,5,8130,14.363636363636363,14.69400848976689,15.090909090909092,17.9539975399754,12.617220172201723,-5.336777367773678,0.6564575645756457,176.9580565805658,all
density,6,8129,15.090909090909092,15.506062133960071,16.0,16.529462418501662,12.464509779800714,-4.064952638700947,0.6310739328330668,171.0231270759011,all
density,7,8130,16.0,16.357656322984887,16.962962962962962,12.60959409594096,13.043296432964329,0.43370233702337024,0.5287822878228783,181.78130381303814,all
density,8,8130,16.962962962962962,17.926551608844512,19.142857142857142,11.085854858548586,13.40590405904059,2.320049200492005,0.4939729397293973,185.11057810578106,all
density,9,8130,19.142857142857142,21.514960925919304,24.0,7.716359163591636,14.194587945879459,6.478228782287823,0.33431734317343176,206.84034440344402,all
density,10,8130,24.0,45.08991368610971,768.0,11.111193111931119,19.137269372693726,8.026076260762608,0.2015990159901599,436.6051660516605,all
gap_divisor_count,1,7849,6.0,24.423493438654607,36.0,2.617913109950312,13.643521467702891,11.02560835775258,0.045993120142693335,187.23098483883297,low_full
gap_divisor_count,2,7849,36.0,48.962670403873105,60.0,4.330487960249713,12.803924066760096,8.473436106510384,0.21454962415594342,176.56605937062045,low_full
gap_divisor_count,3,7849,60.0,69.31736526946108,80.0,5.370875270735126,12.88342464008154,7.512549369346414,0.30245891196330743,177.03427188176838,low_full
gap_divisor_count,4,7850,80.0,92.45057324840765,106.0,6.84968152866242,12.918980891719745,6.069299363057325,0.37070063694267513,177.58394904458598,low_full
gap_divisor_count,5,7849,106.0,118.9476366416104,132.0,8.881386163842528,12.731558160275194,3.8501719964326666,0.46082303478150083,176.25544655370112,low_full
gap_divisor_count,6,7849,132.0,149.48452032106002,168.0,10.892852592686966,12.762135303860365,1.8692827111733978,0.5646579182061409,176.25723022041024,low_full
gap_divisor_count,7,7850,168.0,187.86025477707005,210.0,13.560509554140127,12.497834394904459,-1.0626751592356687,0.6710828025477708,172.96649681528663,low_full
gap_divisor_count,8,7849,210.0,240.1604025990572,274.0,17.05465664415849,12.676009682762135,-4.378646961396356,0.7580583513823417,174.89591030704548,low_full
gap_divisor_count,9,7849,274.0,317.5204484647726,372.0,22.34781500828131,12.233660338896675,-10.114154669384636,0.8513186393171105,169.59510765702638,low_full
gap_divisor_count,10,7850,372.0,510.5743949044586,1560.0,35.48789808917198,12.24764331210191,-23.240254777070064,0.9473885350318472,171.3932484076433,low_full
normalized_load,1,7849,0.42951099224359,0.807727131612712,0.9147325406602025,8.205886100140145,13.129315836412282,4.923429736272136,0.3753344375079628,198.31800229328576,low_full
normalized_load,2,7849,0.9147462959150127,0.9611693505852648,1.000242388368606,13.740603898585807,12.664798063447574,-1.0758058351382342,0.5780354185246528,187.27098993502358,low_full
normalized_load,3,7849,1.0002554421601786,1.0301996057024452,1.0573511217129565,17.971206523123964,12.335329341317365,-5.6358771818066,0.6740986112880621,178.91871575996942,low_full
normalized_load,4,7850,1.0573517186095749,1.0818022317972098,1.1056640660798198,19.534267515923567,12.279490445859873,-7.254777070063694,0.6984713375796179,172.6622929936306,low_full
normalized_load,5,7849,1.1056734837430024,1.1300015861259767,1.1544480767940974,18.412791438399797,12.274684673206778,-6.138106765193018,0.6920626831443496,168.77564020894383,low_full
normalized_load,6,7849,1.1544583719199724,1.1812481548457923,1.210845665362767,15.517645559943942,12.420690533825965,-3.096955026117977,0.6161294432411772,168.38603643776278,low_full
normalized_load,7,7850,1.2108464676998876,1.248006945637176,1.2893740745244873,12.971210191082802,12.606369426751593,-0.3648407643312102,0.5699363057324841,167.96101910828025,low_full
normalized_load,8,7849,1.2893864604639462,1.3482210954228606,1.422255867021835,10.370493056440312,12.722130207669768,2.351637151229456,0.4944578927251879,166.90826856924448,low_full
normalized_load,9,7849,1.4222925050054507,1.5556061512147428,1.7564522234151971,7.4763664161039625,13.051089310740222,5.57472289463626,0.3873104854121544,170.18779462351893,low_full
normalized_load,10,7850,1.75646688828954,3.1922598462098257,15.509870047550281,3.1961783439490445,13.914649681528662,10.718471337579619,0.10127388535031848,180.39006369426752,low_full
density,1,7849,4.333333333333333,10.035758879645815,11.466666666666667,8.590138871193783,11.84558542489489,3.2554465537011086,0.42769779589756657,166.5451649891706,low_full
density,2,7849,11.466666666666667,12.109149216505058,12.666666666666666,12.7909287807364,12.09173143075551,-0.6991973499808893,0.5575232513696012,172.15326793222067,low_full
density,3,7849,12.666666666666666,13.0935777118401,13.52,15.881768378137343,12.302458911963308,-3.579309466174035,0.6421200152885718,175.01286788125876,low_full
density,4,7850,13.52,13.868252018956099,14.235294117647058,18.256815286624203,12.403821656050955,-5.852993630573248,0.6896815286624204,176.12611464968154,low_full
density,5,7849,14.235294117647058,14.585620399949955,14.909090909090908,17.65651675372659,12.491527583131608,-5.16498917059498,0.6464517772964709,174.87170340170724,low_full
density,6,7849,14.909090909090908,15.333181298640751,15.784313725490197,18.284622244871958,12.625302586316728,-5.65931965855523,0.686202063957192,174.81577270989936,low_full
density,7,7850,15.787234042553191,16.159692220660343,16.695652173913043,12.735286624203821,12.872101910828025,0.1368152866242038,0.5094267515923567,176.42458598726114,low_full
density,8,7849,16.696969696969695,17.458538352718325,18.4,11.710026755000637,13.183845075805834,1.473818320805198,0.5261816791948019,178.48630398776913,low_full
density,9,7849,18.4,20.221476110311425,23.2,8.344757293922793,13.418269843292139,5.0735125493693465,0.4090967002165881,179.08281309720982,low_full
density,10,7850,23.2,41.14563494587923,216.0,3.1459872611464967,14.163821656050956,11.017834394904458,0.09273885350318471,186.2579617834395,low_full
gap_divisor_count,1,280,8.0,68.01428571428572,116.0,3.8785714285714286,26.892857142857142,23.014285714285716,0.075,786.225,decade_window
