anchor_p,candidate_count,rejected_count,active_count,resolved_count,unresolved_count,unique_resolved,unique_resolved_match,true_boundary_rejected
3170669,68,52,16,1,15,False,False,False
3170681,68,51,17,1,16,False,False,False
3170689,67,51,16,1,15,False,False,False
3170723,67,49,18,1,17,False,False,False
3170737,69,68,1,1,0,True,True,False
3170743,68,51,17,1,16,False,False,False
3170747,68,52,16,1,15,False,False,False
3170753,67,65,2,1,1,False,False,False
3170759,68,67,1,1,0,True,True,False
3170767,69,54,15,1,14,False,False,False
3170807,68,49,19,1,18,False,False,False
3170851,68,45,23,1,22,False,False,False
3170861,68,46,22,1,21,False,False,False
3170879,68,46,22,1,21,False,False,False
3170887,69,47,22,1,21,False,False,False
3170903,67,46,21,1,20,False,False,False
3170911,68,48,20,1,19,False,False,False
3170927,68,67,1,1,0,True,True,False
3170933,67,48,19,1,18,False,False,False
3170953,68,48,20,1,19,False,False,False
3170957,68,49,19,1,18,False,False,False
3170969,68,50,18,1,17,False,False,False
3170983,68,51,17,1,16,False,False,False
3171013,68,67,1,1,0,True,True,False
3171017,68,50,18,1,17,False,False,False
3171029,68,67,1,1,0,True,True,False
3171031,68,50,18,1,17,False,False,False
3171041,68,51,17,1,16,False,False,False
3171053,67,51,16,1,15,False,False,False
3171059,68,66,2,1,1,False,False,False
3171067,69,68,1,1,0,True,True,False
3171071,68,53,15,1,14,False,False,False
3171089,68,54,14,1,13,False,False,False
3171101,68,54,14,1,13,False,False,False
3171107,68,54,14,1,13,False,False,False
3171131,68,67,1,1,0,True,True,False
3171143,67,54,13,1,12,False,False,False
3171187,69,51,18,1,17,False,False,False
3171199,67,49,18,1,17,False,False,False
3171209,68,51,17,1,16,False,False,False
3171251,68,67,1,1,0,True,True,False
3171253,68,67,1,1,0,True,True,False
3171257,68,52,16,1,15,False,False,False
3171277,69,53,16,1,15,False,False,False
3171281,68,53,15,1,14,False,False,False
3171313,68,52,16,1,15,False,False,False
3171323,67,51,16,1,15,False,False,False
3171349,67,48,19,1,18,False,False,False
3171359,68,49,19,1,18,False,False,False
3171383,67,49,18,1,17,False,False,False
3171403,68,66,2,1,1,False,False,False
3171407,68,67,1,1,0,True,True,False
3171409,67,50,17,1,16,False,False,False
3171431,68,67,1,1,0,True,True,False
3171433,68,50,18,1,17,False,False,False
3171439,67,50,17,1,16,False,False,False
3171449,68,51,17,1,16,False,False,False
3171479,68,67,1,1,0,True,True,False
3171481,68,49,19,1,18,False,False,False
3171521,68,47,21,1,20,False,False,False
3171547,69,46,23,1,22,False,False,False
3171559,67,44,23,1,22,False,False,False
3171577,69,68,1,1,0,True,True,False
3171583,68,46,22,1,21,False,False,False
3171593,67,46,21,1,20,False,False,False
3171599,68,67,1,1,0,True,True,False
3171601,68,48,20,1,19,False,False,False
3171611,68,47,21,1,20,False,False,False
3171653,67,44,23,1,22,False,False,False
3171661,68,67,1,1,0,True,True,False
3171667,69,47,22,1,21,False,False,False
3171671,68,47,21,1,20,False,False,False
3171683,67,47,20,1,19,False,False,False
3171697,69,68,1,1,0,True,True,False
3171709,67,46,21,1,20,False,False,False
3171731,68,67,1,1,0,True,True,False
3171733,68,65,3,1,2,False,False,False
3171737,68,66,2,1,1,False,False,False
3171739,67,66,1,1,0,True,True,False
3171743,67,48,19,1,18,False,False,False
3171761,68,48,20,1,19,False,False,False
3171787,69,68,1,1,0,True,True,False
3171793,68,47,21,1,20,False,False,False
3171799,67,46,21,1,20,False,False,False
3171811,68,47,21,1,20,False,False,False
3171823,68,47,21,1,20,False,False,False
3171853,68,46,22,1,21,False,False,False
3171859,67,66,1,1,0,True,True,False
3171863,67,47,20,1,19,False,False,False
3171869,68,48,20,1,19,False,False,False
3171881,68,48,20,1,19,False,False,False
3171893,67,48,19,1,18,False,False,False
3171913,68,48,20,1,19,False,False,False
3171941,68,67,1,1,0,True,True,False
3171943,68,48,20,1,19,False,False,False
3171947,68,48,20,1,19,False,False,False
3171967,69,49,20,1,19,False,False,False
3171977,68,49,19,1,18,False,False,False
3171989,68,48,20,1,19,False,False,False
3172003,68,67,1,1,0,True,True,False
3172007,68,50,18,1,17,False,False,False
3172019,68,67,1,1,0,True,True,False
3172021,68,67,1,1,0,True,True,False
3172027,69,52,17,1,16,False,False,False
3172051,68,50,18,1,17,False,False,False
3172063,68,67,1,1,0,True,True,False
3172073,67,49,18,1,17,False,False,False
3172093,68,67,1,1,0,True,True,False
3172097,68,51,17,1,16,False,False,False
3172123,68,50,18,1,17,False,False,False
3172133,67,50,17,1,16,False,False,False
3172159,67,49,18,1,17,False,False,False
3172163,67,50,17,1,16,False,False,False
3172189,67,66,1,1,0,True,True,False
3172193,67,49,18,1,17,False,False,False
3172201,68,50,18,1,17,False,False,False
3172207,69,52,17,1,16,False,False,False
3172237,69,52,17,1,16,False,False,False
3172243,68,52,16,1,15,False,False,False
3172271,68,52,16,1,15,False,False,False
3172277,68,51,17,1,16,False,False,False
3172289,68,51,17,1,16,False,False,False
3172303,68,51,17,1,16,False,False,False
3172313,67,50,17,1,16,False,False,False
3172327,69,51,18,1,17,False,False,False
3172349,68,51,17,1,16,False,False,False
3172357,69,53,16,1,15,False,False,False
3172363,68,53,15,1,14,False,False,False
3172391,68,53,15,1,14,False,False,False
3172399,67,52,15,1,14,False,False,False
3172423,68,53,15,1,14,False,False,False
3172439,68,67,1,1,0,True,True,False
3172441,68,53,15,1,14,False,False,False
3172451,68,53,15,1,14,False,False,False
3172471,68,50,18,1,17,False,False,False
3172501,68,48,20,1,19,False,False,False
3172529,68,67,1,1,0,True,True,False
3172531,68,50,18,1,17,False,False,False
3172541,68,51,17,1,16,False,False,False
3172553,67,50,17,1,16,False,False,False
3172567,69,67,2,1,1,False,False,False
3172573,68,67,1,1,0,True,True,False
3172577,68,50,18,1,17,False,False,False
3172627,69,49,20,1,19,False,False,False
3172649,68,47,21,1,20,False,False,False
3172667,68,44,24,1,23,False,False,False
3172681,68,43,25,1,24,False,False,False
3172691,68,44,24,1,23,False,False,False
3172699,67,44,23,1,22,False,False,False
3172711,68,65,3,1,2,False,False,False
3172717,69,67,2,1,1,False,False,False
3172721,68,67,1,1,0,True,True,False
3172723,68,47,21,1,20,False,False,False
3172733,67,46,21,1,20,False,False,False
3172747,69,68,1,1,0,True,True,False
3172751,68,47,21,1,20,False,False,False
3172801,68,45,23,1,22,False,False,False
3172811,68,67,1,1,0,True,True,False
3172817,68,46,22,1,21,False,False,False
3172823,67,66,1,1,0,True,True,False
3172831,68,47,21,1,20,False,False,False
3172837,69,48,21,1,20,False,False,False
3172847,68,48,20,1,19,False,False,False
3172879,67,47,20,1,19,False,False,False
3172889,68,49,19,1,18,False,False,False
3172901,68,50,18,1,17,False,False,False
3172907,68,67,1,1,0,True,True,False
3172909,67,66,1,1,0,True,True,False
3172913,67,66,1,1,0,True,True,False
3172921,68,54,14,1,13,False,False,False
3172933,68,54,14,1,13,False,False,False
3172937,68,67,1,1,0,True,True,False
3172957,69,56,13,1,12,False,False,False
3172973,67,55,12,1,11,False,False,False
3172987,69,57,12,1,11,False,False,False
3172991,68,57,11,1,10,False,False,False
3172997,68,57,11,1,10,False,False,False
3173021,68,55,13,1,12,False,False,False
3173029,67,55,12,1,11,False,False,False
3173039,68,56,12,1,11,False,False,False
3173069,68,55,13,1,12,False,False,False
3173081,68,55,13,1,12,False,False,False
3173089,67,54,13,1,12,False,False,False
3173119,67,52,15,1,14,False,False,False
3173189,68,50,18,1,17,False,False,False
3173207,68,51,17,1,16,False,False,False
3173243,67,48,19,1,18,False,False,False
3173249,68,49,19,1,18,False,False,False
3173257,69,51,18,1,17,False,False,False
3173263,68,50,18,1,17,False,False,False
3173273,67,50,17,1,16,False,False,False
3173293,68,50,18,1,17,False,False,False
3173309,68,67,1,1,0,True,True,False
3173311,68,51,17,1,16,False,False,False
3173329,67,66,1,1,0,True,True,False
3173341,68,52,16,1,15,False,False,False
3173363,67,65,2,1,1,False,False,False
3173369,68,67,1,1,0,True,True,False
3173371,68,53,15,1,14,False,False,False
3173381,68,53,15,1,14,False,False,False
3173389,67,52,15,1,14,False,False,False
3173413,68,52,16,1,15,False,False,False
3173419,67,52,15,1,14,False,False,False
