field,target,count,pearson,spearman
gap,next_1_gap_sum,78489,-0.043194469865480103,-0.05608580320941296
gap,next_1_D_sum,78489,-0.029170982320352,-0.03783744411519898
gap,next_2_gap_sum,78489,-0.03973443873916098,-0.05250914528012963
gap,next_2_D_sum,78489,-0.02301264088814264,-0.03344544261081203
gap,next_3_gap_sum,78489,-0.03480724152550039,-0.04401273573717537
gap,next_3_D_sum,78489,-0.015006222450365442,-0.0226857789600324
gap,next_5_gap_sum,78489,-0.030234887474876706,-0.035893737475834214
gap,next_5_D_sum,78489,-0.006888097743199037,-0.012357122109007825
gap_divisor_count,next_1_gap_sum,78489,-0.02847587483710828,-0.03851643418689617
gap_divisor_count,next_1_D_sum,78489,-0.02177361188521447,-0.03154424827138219
gap_divisor_count,next_2_gap_sum,78489,-0.023420092370865238,-0.03306276525572895
gap_divisor_count,next_2_D_sum,78489,-0.010006133193974451,-0.01774419001353697
gap_divisor_count,next_3_gap_sum,78489,-0.015454958274100362,-0.02119909194378387
gap_divisor_count,next_3_D_sum,78489,0.004151022288943933,0.0008627275442457911
gap_divisor_count,next_5_gap_sum,78489,-0.007268928364173778,-0.007875389896087746
gap_divisor_count,next_5_D_sum,78489,0.01989538858690693,0.02088591784867007
density,next_1_gap_sum,78489,0.05379397334562174,0.0629932755477276
density,next_1_D_sum,78489,0.02433516566426685,0.020673631745464383
density,next_2_gap_sum,78489,0.04697194685963471,0.0680365942416727
density,next_2_D_sum,78489,0.02636771270686415,0.05321661703456569
density,next_3_gap_sum,78489,0.045825071070019756,0.07952992422675335
density,next_3_D_sum,78489,0.031846332678655144,0.08067197313337439
density,next_5_gap_sum,78489,0.05083544831285803,0.0987282327736556
density,next_5_D_sum,78489,0.04511541877410775,0.11521437419156356
normalized_load,next_1_gap_sum,78489,0.039852110459899115,0.025180244070070114
normalized_load,next_1_D_sum,78489,-0.00019677962764944016,-0.05565361094774127
normalized_load,next_2_gap_sum,78489,0.026468177724785585,0.00903638074507601
normalized_load,next_2_D_sum,78489,-0.008759758351224785,-0.05536986562966069
normalized_load,next_3_gap_sum,78489,0.020044792298275365,0.006481170707887376
normalized_load,next_3_D_sum,78489,-0.011414522264463996,-0.04932288065145972
normalized_load,next_5_gap_sum,78489,0.0169278599486399,0.0031890673013393366
normalized_load,next_5_D_sum,78489,-0.010264583612598193,-0.044682498154161344
load_residual,next_1_gap_sum,78489,0.01425760572639605,0.0059627038202170555
load_residual,next_1_D_sum,78489,-0.04203876332814768,-0.06629438869537697
load_residual,next_2_gap_sum,78489,0.006333642015463017,-0.0041423756699934125
load_residual,next_2_D_sum,78489,-0.03935675347594573,-0.05600841645577901
load_residual,next_3_gap_sum,78489,0.010416154259797061,0.0007760242052656706
load_residual,next_3_D_sum,78489,-0.026226488214909183,-0.039105864549635626
load_residual,next_5_gap_sum,78489,0.01033127093859102,0.003617459598896723
load_residual,next_5_D_sum,78489,-0.015476508610108058,-0.02515535645333383
