surface,modulus,field,cell_count,record_weight,weighted_delta_next_gap,positive_delta_cell_share,weighted_delta_next_le_current_share
all,30,density,101,39960,3.267967967967968,0.9900990099009901,-0.053653653653653655
all,30,gap_divisor_count,101,39960,3.267967967967968,0.9900990099009901,-0.053653653653653655
all,30,load_residual,101,39960,0.11761761761761755,0.48514851485148514,0.005655655655655657
all,30,normalized_load,101,39960,-0.47917917917917907,0.3465346534653465,0.017167167167167166
all,210,density,399,38960,2.7921971252566733,0.8947368421052632,-0.046971252566735115
all,210,gap_divisor_count,399,38960,2.7921971252566733,0.8947368421052632,-0.046971252566735115
all,210,load_residual,399,38960,-0.11170431211498975,0.5112781954887218,0.01093429158110883
all,210,normalized_load,399,38960,-0.6645790554414784,0.43358395989974935,0.021355236139630394
all,2310,density,1490,29774,2.2290589104587895,0.6536912751677852,-0.02814536172499496
all,2310,gap_divisor_count,1490,29774,2.2290589104587895,0.6536912751677852,-0.02814536172499496
all,2310,load_residual,1490,29774,-0.4238597434002822,0.4590604026845638,0.02485389937529388
all,2310,normalized_load,1490,29774,-0.9099214079398132,0.42885906040268457,0.03492980452744005
decade_window,30,density,13,286,8.181818181818183,0.6923076923076923,-0.048951048951048966
decade_window,30,gap_divisor_count,13,286,8.181818181818183,0.6923076923076923,-0.048951048951048966
decade_window,30,load_residual,13,286,-3.4965034965034962,0.46153846153846156,0.03496503496503497
decade_window,30,normalized_load,13,286,-4.27972027972028,0.46153846153846156,0.055944055944055944
low_full,30,density,96,38732,1.3847980997624703,0.8645833333333334,-0.027315914489311158
low_full,30,gap_divisor_count,96,38732,1.3847980997624703,0.8645833333333334,-0.027315914489311158
low_full,30,load_residual,96,38732,0.22379427863265502,0.6458333333333334,0.005783331612103697
low_full,30,normalized_load,96,38732,0.024062790457502866,0.5208333333333334,0.011463389445419808
low_full,210,density,388,37796,1.0873108265424913,0.6881443298969072,-0.02164250185204784
low_full,210,gap_divisor_count,388,37796,1.0873108265424913,0.6881443298969072,-0.02164250185204784
low_full,210,load_residual,388,37796,-0.004233252195999557,0.49226804123711343,0.010530214837548945
low_full,210,normalized_load,388,37796,-0.21039263414117887,0.48195876288659795,0.016192189649698385
low_full,2310,density,1446,28772,0.9051855971082997,0.5726141078838174,-0.009453635478937857
low_full,2310,gap_divisor_count,1446,28772,0.9051855971082997,0.5726141078838174,-0.009453635478937857
low_full,2310,load_residual,1446,28772,-0.33518698734881136,0.4681881051175657,0.026414569720561654
low_full,2310,normalized_load,1446,28772,-0.6178228833588211,0.44536652835408025,0.0336438203809259
