match_mode,measure,power,eligible_cells,decisive_pairs,signed_advantage,tie_pairs,advantage_share
base,square_ruler,12,154,5497,29,0,0.00527560487539
base,square_ruler,13,148,5917,77,0,0.0130133513605
base,square_ruler,14,167,5577,129,0,0.0231307154384
base,square_ruler,15,155,5066,344,0,0.0679036715357
base,square_ruler,16,164,5453,11,0,0.00201723821749
base,square_ruler,17,160,4952,224,0,0.0452342487884
base,square_ruler,18,170,4654,212,0,0.04555221315
base,tail_length,12,154,5497,2,293,0.000363834818992
base,tail_length,13,148,5917,59,324,0.00997126922427
base,tail_length,14,167,5577,162,255,0.0290478752017
base,tail_length,15,155,5066,334,208,0.0659297275957
base,tail_length,16,164,5453,9,232,0.0016504676325
base,tail_length,17,160,4952,215,147,0.0434168012924
base,tail_length,18,170,4654,243,161,0.0522131499785
mod30,square_ruler,12,195,2156,-14,0,-0.00649350649351
mod30,square_ruler,13,195,2227,-25,0,-0.0112258643916
mod30,square_ruler,14,200,2182,10,0,0.00458295142071
mod30,square_ruler,15,191,1884,94,0,0.0498938428875
mod30,square_ruler,16,201,2102,-44,0,-0.0209324452902
mod30,square_ruler,17,192,1905,41,0,0.0215223097113
mod30,square_ruler,18,202,1849,87,0,0.0470524607896
mod30,tail_length,12,195,2156,-18,162,-0.00834879406308
mod30,tail_length,13,195,2227,-34,151,-0.0152671755725
mod30,tail_length,14,200,2182,14,110,0.006416131989
mod30,tail_length,15,191,1884,89,103,0.0472399150743
mod30,tail_length,16,201,2102,-53,117,-0.0252140818268
mod30,tail_length,17,192,1905,39,70,0.0204724409449
mod30,tail_length,18,202,1849,98,85,0.0530016224986
mod30_prev_gap,square_ruler,12,174,475,-11,0,-0.0231578947368
mod30_prev_gap,square_ruler,13,162,476,10,0,0.0210084033613
mod30_prev_gap,square_ruler,14,166,401,-11,0,-0.0274314214464
mod30_prev_gap,square_ruler,15,147,292,22,0,0.0753424657534
mod30_prev_gap,square_ruler,16,158,295,-39,0,-0.132203389831
mod30_prev_gap,square_ruler,17,143,268,-16,0,-0.0597014925373
mod30_prev_gap,square_ruler,18,141,256,26,0,0.1015625
mod30_prev_gap,tail_length,12,174,475,-12,47,-0.0252631578947
mod30_prev_gap,tail_length,13,162,476,4,34,0.00840336134454
mod30_prev_gap,tail_length,14,166,401,-8,19,-0.0199501246883
mod30_prev_gap,tail_length,15,147,292,17,15,0.0582191780822
mod30_prev_gap,tail_length,16,158,295,-40,11,-0.135593220339
mod30_prev_gap,tail_length,17,143,268,-18,8,-0.0671641791045
mod30_prev_gap,tail_length,18,141,256,27,7,0.10546875
mod210,square_ruler,12,173,373,-17,0,-0.0455764075067
mod210,square_ruler,13,167,378,-18,0,-0.047619047619
mod210,square_ruler,14,159,408,-20,0,-0.0490196078431
mod210,square_ruler,15,164,374,22,0,0.0588235294118
mod210,square_ruler,16,193,404,-2,0,-0.0049504950495
mod210,square_ruler,17,149,351,3,0,0.00854700854701
mod210,square_ruler,18,177,388,32,0,0.0824742268041
mod210,tail_length,12,173,373,-17,40,-0.0455764075067
mod210,tail_length,13,167,378,-19,33,-0.0502645502646
mod210,tail_length,14,159,408,-15,27,-0.0367647058824
mod210,tail_length,15,164,374,21,23,0.0561497326203
mod210,tail_length,16,193,404,3,25,0.00742574257426
mod210,tail_length,17,149,351,0,17,0
mod210,tail_length,18,177,388,30,24,0.0773195876289
