anchor_p,candidate_count,rejected_count,active_count,resolved_count,unresolved_count,unique_resolved,unique_resolved_match,true_boundary_rejected
1045309,67,47,20,1,19,False,False,False
1045321,68,47,21,1,20,False,False,False
1045349,68,48,20,1,19,False,False,False
1045367,68,47,21,1,20,False,False,False
1045391,68,67,1,1,0,True,True,False
1045393,68,67,1,1,0,True,True,False
1045397,68,47,21,1,20,False,False,False
1045409,68,67,1,1,0,True,True,False
1045411,68,48,20,1,19,False,False,False
1045423,68,67,1,1,0,True,True,False
1045427,68,49,19,1,18,False,False,False
1045469,68,49,19,1,18,False,False,False
1045487,68,47,21,1,20,False,False,False
1045493,67,47,20,1,19,False,False,False
1045507,69,49,20,1,19,False,False,False
1045523,67,48,19,1,18,False,False,False
1045529,68,50,18,1,17,False,False,False
1045543,68,66,2,1,1,False,False,False
1045547,68,67,1,1,0,True,True,False
1045549,67,50,17,1,16,False,False,False
1045559,68,52,16,1,15,False,False,False
1045571,68,67,1,1,0,True,True,False
1045573,68,52,16,1,15,False,False,False
1045607,68,51,17,1,16,False,False,False
1045621,68,52,16,1,15,False,False,False
1045633,68,53,15,1,14,False,False,False
1045643,67,66,1,1,0,True,True,False
1045651,68,53,15,1,14,False,False,False
1045663,68,54,14,1,13,False,False,False
1045679,68,55,13,1,12,False,False,False
1045691,68,56,12,1,11,False,False,False
1045727,68,67,1,1,0,True,True,False
1045729,67,55,12,1,11,False,False,False
1045739,68,56,12,1,11,False,False,False
1045763,67,55,12,1,11,False,False,False
1045799,68,67,1,1,0,True,True,False
1045801,68,54,14,1,13,False,False,False
1045819,67,53,14,1,13,False,False,False
1045829,68,53,15,1,14,False,False,False
1045841,68,54,14,1,13,False,False,False
1045859,68,54,14,1,13,False,False,False
1045903,68,67,1,1,0,True,True,False
1045907,68,55,13,1,12,False,False,False
1045963,68,50,18,1,17,False,False,False
1045981,68,50,18,1,17,False,False,False
1045987,69,51,18,1,17,False,False,False
1045997,68,51,17,1,16,False,False,False
1046029,67,49,18,1,17,False,False,False
1046047,69,67,2,1,1,False,False,False
1046051,68,67,1,1,0,True,True,False
1046053,68,53,15,1,14,False,False,False
1046069,68,66,2,1,1,False,False,False
1046077,69,68,1,1,0,True,True,False
1046081,68,55,13,1,12,False,False,False
1046113,68,53,15,1,14,False,False,False
1046119,67,52,15,1,14,False,False,False
1046179,67,66,1,1,0,True,True,False
1046183,67,50,17,1,16,False,False,False
1046189,68,67,1,1,0,True,True,False
1046191,68,52,16,1,15,False,False,False
1046203,68,67,1,1,0,True,True,False
1046207,68,52,16,1,15,False,False,False
1046237,68,67,1,1,0,True,True,False
1046239,67,53,14,1,13,False,False,False
1046257,69,55,14,1,13,False,False,False
1046263,68,54,14,1,13,False,False,False
1046329,67,51,16,1,15,False,False,False
1046347,69,68,1,1,0,True,True,False
1046351,68,51,17,1,16,False,False,False
