exponent,boundary_rule_id,candidate_bound,candidate_offsets_evaluated,closed_candidate_offsets_before_boundary,wall_family,wall,wall_tau,candidate,boundary_distance,boundary_survives,recovered_left_boundary,recovered_right_boundary,recovered_chamber_width,right_neighbor,right_neighbor_tau,leftmost_minimizer,leftmost_minimizer_offset_from_left_boundary,leftmost_minimizer_offset_from_wall,leftmost_minimizer_tau,candidate_tau,candidate_audit_status,candidate_factor_signature
4,pgs_left_boundary_wheel_open_v1,128,1,,power_of_2,16,5,15,3,False,13,17,4,17,2,14,1,-2,4,4,composite,3*5
6,pgs_left_boundary_wheel_open_v1,128,1,,power_of_2,64,7,63,3,False,61,67,6,65,4,62,1,-2,4,6,composite,3^2*7
8,pgs_left_boundary_wheel_open_v1,128,2,3,power_of_2,256,9,255,5,False,251,257,6,257,2,253,2,-3,4,8,composite,3*5*17
9,pgs_left_boundary_wheel_open_v1,128,2,1,power_of_2,512,10,511,3,False,509,521,12,513,8,511,2,-1,4,4,composite,7*73
10,pgs_left_boundary_wheel_open_v1,128,1,,power_of_2,1024,11,1023,3,False,1021,1031,10,1025,6,1027,6,3,4,8,composite,3*11*31
11,pgs_left_boundary_wheel_open_v1,128,3,1;7,power_of_2,2048,12,2047,9,False,2039,2053,14,2049,4,2041,2,-7,4,4,composite,23*89
12,pgs_left_boundary_wheel_open_v1,128,1,,power_of_2,4096,13,4095,3,False,4093,4099,6,4097,4,4097,4,1,4,24,composite,3^2*5*7*13
14,pgs_left_boundary_wheel_open_v1,128,1,,power_of_2,16384,15,16383,3,False,16381,16411,30,16385,8,16382,1,-2,4,8,composite,3*43*127
15,pgs_left_boundary_wheel_open_v1,128,5,1;7;9;15,power_of_2,32768,16,32767,19,False,32749,32771,22,32769,12,32761,12,-7,3,8,composite,7*31*151
16,pgs_left_boundary_wheel_open_v1,128,4,3;5;9,power_of_2,65536,17,65535,15,False,65521,65537,16,65537,2,65523,2,-13,4,16,composite,3*5*17*257
18,pgs_left_boundary_wheel_open_v1,128,2,3,power_of_2,262144,19,262143,5,False,262139,262147,8,262145,16,262141,2,-3,4,32,composite,3^3*7*19*73
20,pgs_left_boundary_wheel_open_v1,128,1,,power_of_2,1048576,21,1048575,3,False,1048573,1048583,10,1048577,4,1048574,1,-2,4,48,composite,3*5^2*11*31*41
21,pgs_left_boundary_wheel_open_v1,128,3,1;3,power_of_2,2097152,22,2097151,9,False,2097143,2097169,26,2097153,12,2097145,2,-7,4,12,composite,7^2*127*337
22,pgs_left_boundary_wheel_open_v1,128,1,,power_of_2,4194304,23,4194303,3,False,4194301,4194319,18,4194305,8,4194311,10,7,4,16,composite,3*23*89*683
23,pgs_left_boundary_wheel_open_v1,128,4,1;7;9,power_of_2,8388608,24,8388607,15,False,8388593,8388617,24,8388609,4,8388599,6,-9,4,4,composite,47*178481
24,pgs_left_boundary_wheel_open_v1,128,1,,power_of_2,16777216,25,16777215,3,False,16777213,16777259,46,16777217,8,16777219,6,3,4,96,composite,3^2*5*7*13*17*241
25,pgs_left_boundary_wheel_open_v1,128,11,1;3;9;13;15;19;21;25;31;33,power_of_2,33554432,26,33554431,39,False,33554393,33554467,74,33554433,16,33554397,4,-35,4,8,composite,31*601*1801
26,pgs_left_boundary_wheel_open_v1,128,2,3,power_of_2,67108864,27,67108863,5,False,67108859,67108879,20,67108865,16,67108867,8,3,4,8,composite,3*2731*8191
27,pgs_left_boundary_wheel_open_v1,128,11,1;7;9;15;19;21;25;27;31;37,power_of_2,134217728,28,134217727,39,False,134217689,134217757,68,134217729,20,134217691,2,-37,4,8,composite,7*73*262657
28,pgs_left_boundary_wheel_open_v1,128,15,3;5;9;15;17;23;27;29;33;35;39;45;47;53,power_of_2,268435456,29,268435455,57,False,268435399,268435459,60,268435457,4,268435403,4,-53,4,64,composite,3*5*29*43*113*127
29,pgs_left_boundary_wheel_open_v1,128,2,1,power_of_2,536870912,30,536870911,3,False,536870909,536870923,14,536870913,8,536870918,9,6,4,8,composite,233*1103*2089
30,pgs_left_boundary_wheel_open_v1,128,10,3;5;11;15;17;21;23;27;33,power_of_2,1073741824,31,1073741823,35,False,1073741789,1073741827,38,1073741825,48,1073741793,4,-31,4,96,composite,3^2*7*11*31*151*331
