match_mode,heldout_power,train_rows,heldout_rows,eligible_rows,shrunk_rows,violations,average_base_menu_size,average_side_menu_size,average_shrinkage,violation_rate
base,12,39219,6384,6260,5388,472,13.8814696485623,12.253194888178914,1.6282747603833865,0.07539936102236422
base,13,39141,6462,6301,5429,492,13.90096810030154,12.253451833042375,1.6475162672591652,0.07808284399301699
base,14,39116,6487,6337,4947,601,13.751933091368155,12.177055388985325,1.574877702382831,0.09483982957235285
base,15,39051,6552,6367,5682,500,13.756086068792209,12.03800848123135,1.7180775875608607,0.0785299198994817
base,16,39039,6564,6325,4751,562,13.697233201581028,12.12505928853755,1.5721739130434782,0.08885375494071146
base,17,39067,6536,6271,4722,570,13.446340296603413,11.927603253069686,1.5187370435337266,0.09089459416361027
base,18,38985,6618,6302,4747,645,13.349571564582671,11.798794033640114,1.550777530942558,0.1023484608060933
mod30,12,39219,6384,5227,2635,487,4.356992538741152,3.7302467954849816,0.6267457432561699,0.09317007843887508
mod30,13,39141,6462,5191,2707,480,4.406858023502215,3.739741860913119,0.6671161625890966,0.09246773261413986
mod30,14,39116,6487,5152,2442,507,4.337927018633541,3.7138975155279503,0.62402950310559,0.0984083850931677
mod30,15,39051,6552,5221,2616,432,4.372917065696226,3.739513503160314,0.6334035625359127,0.08274276958437081
mod30,16,39039,6564,5090,2487,495,4.360707269155206,3.7353634577603145,0.6253438113948919,0.09724950884086445
mod30,17,39067,6536,5011,2501,519,4.3025344242666135,3.649970065855119,0.6525643584114947,0.10357214128916384
mod30,18,38985,6618,4948,2438,476,4.325181891673403,3.669765561843169,0.6554163298302345,0.09620048504446241
exact_tail,12,39219,6384,3750,2710,659,5.352266666666667,4.232,1.1202666666666667,0.17573333333333332
exact_tail,13,39141,6462,3634,2519,667,5.3772702256466705,4.2347275729224,1.1425426527242708,0.18354430379746836
exact_tail,14,39116,6487,3490,2526,654,5.2527220630372495,4.1114613180515756,1.1412607449856733,0.18739255014326647
exact_tail,15,39051,6552,3399,2373,655,5.233892321270962,4.114739629302736,1.119152691968226,0.19270373639305677
exact_tail,16,39039,6564,3318,2451,639,5.2215189873417724,4.054249547920434,1.167269439421338,0.19258589511754068
exact_tail,17,39067,6536,3098,2243,662,5.1475145255003225,3.932859909619109,1.2146546158812137,0.21368624919302776
exact_tail,18,38985,6618,3035,2252,558,5.229654036243822,4.048105436573311,1.1815485996705106,0.18385502471169687
mod30_exact_tail,12,39219,6384,2807,1635,430,3.6195226220163876,2.862130388314927,0.7573922337014606,0.15318845742785892
mod30_exact_tail,13,39141,6462,2828,1684,462,3.6227015558698725,2.807284299858557,0.8154172560113154,0.16336633663366337
mod30_exact_tail,14,39116,6487,2664,1581,450,3.5705705705705704,2.781906906906907,0.7886636636636637,0.16891891891891891
mod30_exact_tail,15,39051,6552,2487,1467,420,3.5830317651789305,2.811017289907519,0.7720144752714113,0.16887816646562123
mod30_exact_tail,16,39039,6564,2489,1595,436,3.5644837284049817,2.7251908396946565,0.8392928887103255,0.17517075130574528
mod30_exact_tail,17,39067,6536,2289,1400,407,3.524246395806029,2.7164700742682393,0.8077763215377894,0.17780690257754478
mod30_exact_tail,18,38985,6618,2278,1459,356,3.5856014047410008,2.7313432835820897,0.8542581211589113,0.1562774363476734
