case_id,bits,N,factor_found,audit_integrity_status,inference_audit_status
rsa_v2_40bit_static_001,40,1099507433251,true,integrity_pass,inference_audit_pass
rsa_v2_50bit_static_001,50,1027435935526951,false,integrity_pass,inference_audit_fail
rsa_v2_64bit_static_001,64,10376454699372036973,true,integrity_pass,inference_audit_pass
rsa_v2_128bit_static_001,127,85070591730234615902737140005361155371,false,integrity_pass,inference_audit_fail
rsa_v2_256bit_static_001,256,57896044618658097711785492504343955952566120322525139588585136554122987719313,false,integrity_pass,inference_audit_fail
