p,q,gap_len,w,tau_w,frac_pos,budget,packet
623291,623299,8,623293,4,0.25,667.1388097826938,d4_semiprime
623383,623387,4,623386,8,0.75,280.20130485639885,d8_plus
623477,623521,44,623479,4,0.045454545454545456,3989.58752050829,d4_semiprime
623633,623641,8,623639,4,0.75,733.8828061017842,d4_semiprime
623699,623717,18,623701,4,0.1111111111111111,2468.535139491804,d4_semiprime
623767,623771,4,623769,4,0.5,413.64962263216205,d4_semiprime
623881,623893,12,623885,4,0.3333333333333333,613.811336909287,d4_semiprime
623977,623983,6,623981,4,0.6666666666666666,386.972318244919,d4_semiprime
624067,624089,22,624071,4,0.18181818181818182,1828.1322921515978,d4_semiprime
624191,624199,8,624193,4,0.25,680.5550845754756,d4_semiprime
624259,624271,12,624263,4,0.3333333333333333,1214.3338785337207,d4_semiprime
624347,624391,44,624353,4,0.13636363636363635,3923.2814832515633,d4_semiprime
624469,624479,10,624475,6,0.6,573.8205314450239,d6
624541,624577,36,624545,4,0.1111111111111111,2802.4084780753756,d4_semiprime
624667,624683,16,624669,4,0.125,1481.293713365977,d4_semiprime
624763,624769,6,624766,4,0.5,493.76992017573946,d4_semiprime
624839,624847,8,624843,6,0.5,760.6794675108462,d6
624983,624997,14,624989,4,0.42857142857142855,1294.512636071746,d4_semiprime
625109,625111,2,625110,32,0.5,200.18524369848532,d8_plus
625187,625199,12,625193,4,0.5,867.4779744812143,d4_semiprime
625283,625307,24,625286,4,0.125,1895.1288753126585,d4_semiprime
625409,625451,42,625411,4,0.047619047619047616,3163.048170775033,d4_semiprime
625543,625589,46,625546,4,0.06521739130434782,3389.9884847291933,d4_semiprime
625643,625657,14,625649,4,0.42857142857142855,1321.3080317022159,d4_semiprime
625789,625811,22,625793,4,0.18181818181818182,1828.5096124031502,d4_semiprime
625883,625909,26,625886,4,0.11538461538461539,2015.388090083166,d4_semiprime
625997,626009,12,625999,4,0.16666666666666666,720.7438983940872,d4_semiprime
626147,626159,12,626149,4,0.16666666666666666,787.4935878378685,d4_semiprime
626239,626251,12,626243,4,0.3333333333333333,1348.0971661280214,d4_semiprime
626363,626377,14,626369,4,0.42857142857142855,1027.7725912832025,d4_semiprime
626533,626539,6,626534,4,0.16666666666666666,734.137854527203,d4_semiprime
626621,626623,2,626622,16,0.5,93.43669136901386,d8_plus
626693,626701,8,626695,4,0.25,814.2413477415563,d4_semiprime
626771,626783,12,626774,4,0.25,1241.396241030405,d4_semiprime
626917,626921,4,626918,8,0.25,280.3200442592103,d8_plus
627017,627041,24,627023,4,0.25,1655.2448149624436,d4_semiprime
627101,627119,18,627103,4,0.1111111111111111,1214.7475069807156,d4_semiprime
627217,627227,10,627221,4,0.4,560.6603589539092,d4_semiprime
627301,627329,28,627307,4,0.21428571428571427,2015.7301485140215,d4_semiprime
627433,627449,16,627434,4,0.0625,1508.4828135217526,d4_semiprime
627559,627593,34,627563,4,0.11764705882352941,3110.461585067959,d4_semiprime
627661,627667,6,627663,4,0.3333333333333333,347.09378296298195,d4_semiprime
627787,627791,4,627789,4,0.5,213.59934883481426,d4_semiprime
627911,627919,8,627917,4,0.75,934.5110069458095,d4_semiprime
628021,628037,16,628027,4,0.375,1027.9763383862971,d4_semiprime
628097,628127,30,628099,4,0.06666666666666667,2336.332996319213,d4_semiprime
628213,628217,4,628214,4,0.25,307.06467765245395,d4_semiprime
628319,628357,38,628321,4,0.05263157894736842,3618.073958982315,d4_semiprime
628427,628447,20,628431,4,0.2,1428.5560612742615,d4_semiprime
628583,628591,8,628585,4,0.25,680.9127126528277,d4_semiprime
628709,628721,12,628714,4,0.4166666666666667,1201.6290635760154,d4_semiprime
628799,628801,2,628800,84,0.5,547.4143093239825,d8_plus
628909,628913,4,628911,8,0.5,253.68315877355798,d8_plus
629003,629009,6,629007,4,0.6666666666666666,507.3719872417966,d4_semiprime
629137,629143,6,629138,4,0.16666666666666666,413.91542300559246,d4_semiprime
629281,629311,30,629282,4,0.03333333333333333,2123.025329212376,d4_semiprime
629401,629411,10,629403,4,0.2,774.4469363444103,d4_semiprime
629509,629513,4,629511,4,0.5,413.93363138490025,d4_semiprime
629609,629611,2,629610,32,0.5,200.29283788589365,d8_plus
629701,629711,10,629702,4,0.1,774.474457312187,d4_semiprime
