scale,q,candidate,factor_signature,fourth_factor,fourth_remainder,fifth_factor,fifth_remainder,fifth_remainder_tau,fifth_remainder_family,fifth_remainder_signature,fifth_strip_terminal,fifth_strip_accounted
1000000000000000000,999999999999958571,999999999999958573,7^4*11^2*17*21617*9366517,7,416493127863373,11,37863011623943,16,multi_prime_family,11*17*21617*9366517,sixth_layer_multi_prime,False
1000000000000000000,999999999999893597,999999999999893599,7^2*17*19*97*1451*3191*140681,19,63183168004037,97,651372866021,8,multi_prime_family,1451*3191*140681,sixth_layer_multi_prime,False
1000000000000000000,999999999999839207,999999999999839209,7^3*53*101*277*641*3067403,53,55008526321571,101,544638874471,8,multi_prime_family,277*641*3067403,sixth_layer_multi_prime,False
1000000000000000000,999999999999803339,999999999999803341,7^2*11*23*67*239*1289*3908029,23,80664676937953,67,1203950402059,8,multi_prime_family,239*1289*3908029,sixth_layer_multi_prime,False
1000000000000000000,999999999999790697,999999999999790699,7^2*13^2*139*379*16417*139627,13,120758362516579,139,868765197961,8,multi_prime_family,379*16417*139627,sixth_layer_multi_prime,False
1000000000000000000,999999999999699011,999999999999699013,7*23^2*31*83*2621*5869*6823,31,8711332572541,83,104955814127,8,multi_prime_family,2621*5869*6823,sixth_layer_multi_prime,False
1000000000000000000,999999999999641639,999999999999641641,7^4*11*13^2*761*2917*100927,7,416493127863241,11,37863011623931,24,multi_prime_family,13^2*761*2917*100927,sixth_layer_multi_prime,False
1000000000000000000,999999999999614381,999999999999614383,7*11*31*53*101*773*1279*79159,53,7904450996353,101,78261891053,8,multi_prime_family,773*1279*79159,sixth_layer_multi_prime,False
1000000000000000000,999999999999540797,999999999999540799,7^4*43*809*54647*219091,7,416493127863199,43,9685886694493,8,multi_prime_family,809*54647*219091,sixth_layer_multi_prime,False
