case_id,survivors_in,best_rounds_locked,exact_locked_survivors,best_rank,recursive_survivors,product_closed_pairs,product_closed_best_rank
rsa_like_100bit_skew_18,6,4,2,1,6,1,1
rsa_like_125bit_skew_18,6,4,2,1,2,1,1
rsa_like_150bit_skew_20,2,4,2,1,2,1,1
rsa_like_60bit_skew_14,2,4,2,1,2,1,1
rsa_like_80bit_skew_16,2,4,2,1,2,1,1
