measure,power,eligible_cells,decisive_pairs,signed_advantage,tie_pairs,advantage_share
square_ruler,12,23,74,-6,0,-0.0810810810811
square_ruler,13,23,91,27,0,0.296703296703
square_ruler,14,20,85,5,0,0.0588235294118
square_ruler,15,19,62,-2,0,-0.0322580645161
square_ruler,16,23,96,24,0,0.25
square_ruler,17,23,93,9,0,0.0967741935484
square_ruler,18,21,88,16,0,0.181818181818
tail_length,12,23,74,-7,3,-0.0945945945946
tail_length,13,23,91,27,6,0.296703296703
tail_length,14,20,85,4,3,0.0470588235294
tail_length,15,19,62,-2,2,-0.0322580645161
tail_length,16,23,96,23,5,0.239583333333
tail_length,17,23,93,9,2,0.0967741935484
tail_length,18,21,88,16,2,0.181818181818
