match_mode,heldout_power,train_rows,heldout_rows,eligible_rows,shrunk_rows,violations,average_base_menu_size,average_side_menu_size,average_shrinkage,violation_rate
base,12,1224,197,91,79,31,7.461538461538462,5.472527472527473,1.989010989010989,0.34065934065934067
base,13,1226,195,92,81,30,7.782608695652174,5.673913043478261,2.108695652173913,0.32608695652173914
base,14,1220,201,98,91,29,7.73469387755102,5.36734693877551,2.36734693877551,0.29591836734693877
base,15,1218,203,101,91,34,7.554455445544554,5.356435643564357,2.198019801980198,0.33663366336633666
base,16,1210,211,117,113,39,7.3931623931623935,4.9743589743589745,2.4188034188034186,0.3333333333333333
base,17,1217,204,95,90,28,7.842105263157895,5.3052631578947365,2.536842105263158,0.29473684210526313
base,18,1211,210,109,94,36,7.412844036697248,5.018348623853211,2.3944954128440368,0.3302752293577982
mod30,12,1224,197,10,6,2,2.5,1.9,0.6,0.2
mod30,13,1226,195,5,2,2,2.4,2.0,0.4,0.4
mod30,14,1220,201,12,7,1,2.5833333333333335,1.9166666666666667,0.6666666666666666,0.08333333333333333
mod30,15,1218,203,7,6,1,2.5714285714285716,1.7142857142857142,0.8571428571428571,0.14285714285714285
mod30,16,1210,211,10,7,2,2.7,1.8,0.9,0.2
mod30,17,1217,204,9,3,1,2.2222222222222223,1.8888888888888888,0.3333333333333333,0.1111111111111111
mod30,18,1211,210,10,9,5,2.6,1.6,1.0,0.5
exact_tail,12,1224,197,0,0,0,0.0,0.0,0.0,0.0
exact_tail,13,1226,195,1,1,0,4.0,2.0,2.0,0.0
exact_tail,14,1220,201,1,1,0,4.0,2.0,2.0,0.0
exact_tail,15,1218,203,0,0,0,0.0,0.0,0.0,0.0
exact_tail,16,1210,211,0,0,0,0.0,0.0,0.0,0.0
exact_tail,17,1217,204,1,1,0,3.0,2.0,1.0,0.0
exact_tail,18,1211,210,1,1,0,4.0,2.0,2.0,0.0
mod30_exact_tail,12,1224,197,0,0,0,0.0,0.0,0.0,0.0
mod30_exact_tail,13,1226,195,0,0,0,0.0,0.0,0.0,0.0
mod30_exact_tail,14,1220,201,0,0,0,0.0,0.0,0.0,0.0
mod30_exact_tail,15,1218,203,0,0,0,0.0,0.0,0.0,0.0
mod30_exact_tail,16,1210,211,0,0,0,0.0,0.0,0.0,0.0
mod30_exact_tail,17,1217,204,1,1,0,3.0,2.0,1.0,0.0
mod30_exact_tail,18,1211,210,0,0,0,0.0,0.0,0.0,0.0
