a,square,endpoint_offsets,component_word,s4,slack_4a,slack_2a,utilization_4a,utilization_2a,half_wall_status,fixed_256_status,a_mod_30
269,72361,6|18|22|60,6|12|4|38,60,1016,478,0.055762081784,0.111524163569,pass,pass,29
271,73441,12|18|30|36,12|6|12|6,36,1048,506,0.033210332103,0.066420664207,pass,pass,1
277,76729,4|24|28|42,4|20|4|14,42,1066,512,0.037906137184,0.075812274368,pass,pass,7
281,78961,16|18|28|70,16|2|10|42,70,1054,492,0.062277580071,0.124555160142,pass,pass,11
283,80089,18|22|52|58,18|4|30|6,58,1074,508,0.051236749117,0.102473498233,pass,pass,13
293,85849,4|40|54|60,4|36|14|6,60,1112,526,0.051194539249,0.102389078498,pass,pass,23
307,94249,4|12|24|42,4|8|12|18,42,1186,572,0.034201954397,0.068403908795,pass,pass,7
311,96721,10|16|18|28,10|6|2|10,28,1216,594,0.022508038585,0.04501607717,pass,pass,11
313,97969,4|18|40|42,4|14|22|2,42,1210,584,0.033546325879,0.067092651757,pass,pass,13
317,100489,4|12|22|28,4|8|10|6,28,1240,606,0.022082018927,0.044164037855,pass,pass,17
331,109561,6|18|22|28,6|12|4|6,28,1296,634,0.021148036254,0.042296072508,pass,pass,1
337,113569,22|52|54|78,22|30|2|24,78,1270,596,0.057863501484,0.115727002967,pass,pass,7
347,120409,4|18|22|64,4|14|4|42,64,1324,630,0.046109510086,0.092219020173,pass,pass,17
349,121801,42|52|66|82,42|10|14|16,82,1314,616,0.058739255014,0.117478510029,pass,pass,19
353,124609,24|34|60|64,24|10|26|4,64,1348,642,0.045325779037,0.090651558074,pass,pass,23
359,128881,22|42|58|60,22|20|16|2,60,1376,658,0.041782729805,0.08356545961,pass,pass,29
367,134689,10|18|42|52,10|8|24|10,52,1416,682,0.035422343324,0.070844686649,pass,pass,7
373,139129,4|40|48|58,4|36|8|10,58,1434,688,0.038873994638,0.077747989276,pass,pass,13
379,143641,10|12|28|36,10|2|16|8,36,1480,722,0.023746701847,0.047493403694,pass,pass,19
383,146689,12|30|54|60,12|18|24|6,60,1472,706,0.039164490862,0.078328981723,pass,pass,23
389,151321,16|18|22|36,16|2|4|14,36,1520,742,0.023136246787,0.046272493573,pass,pass,29
397,157609,18|28|30|40,18|10|2|10,40,1548,754,0.025188916877,0.050377833753,pass,pass,7
401,160801,6|12|16|28,6|6|4|12,28,1576,774,0.017456359102,0.034912718204,pass,pass,11
409,167281,28|30|36|48,28|2|6|12,48,1588,770,0.029339853301,0.058679706601,pass,pass,19
419,175561,12|40|60|70,12|28|20|10,70,1606,768,0.041766109785,0.08353221957,pass,pass,29
421,177241,16|28|42|60,16|12|14|18,60,1624,782,0.035629453682,0.071258907363,pass,pass,1
431,185761,6|28|36|52,6|22|8|16,52,1672,810,0.030162412993,0.060324825986,pass,pass,11
433,187489,18|24|42|58,18|6|18|16,58,1674,808,0.033487297921,0.066974595843,pass,pass,13
439,192721,16|22|28|36,16|6|6|8,36,1720,842,0.020501138952,0.041002277904,pass,pass,19
443,196249,22|28|30|42,22|6|2|12,42,1730,844,0.023702031603,0.047404063205,pass,pass,23
449,201601,10|22|28|52,10|12|6|24,52,1744,846,0.028953229399,0.057906458797,pass,pass,29
457,208849,28|40|42|58,28|12|2|16,58,1770,856,0.031728665208,0.063457330416,pass,pass,7
461,212521,36|40|52|58,36|4|12|6,58,1786,864,0.031453362256,0.062906724512,pass,pass,11
463,214369,4|12|22|30,4|8|10|8,30,1822,896,0.016198704104,0.032397408207,pass,pass,13
467,218089,18|22|28|42,18|4|6|14,42,1826,892,0.022483940043,0.044967880086,pass,pass,17
479,229441,18|28|46|58,18|10|18|12,58,1858,900,0.030271398747,0.060542797495,pass,pass,29
487,237169,4|10|34|48,4|6|24|14,48,1900,926,0.024640657084,0.049281314168,pass,pass,7
491,241081,12|36|46|60,12|24|10|14,60,1904,922,0.030549898167,0.061099796334,pass,pass,11
499,249001,16|36|58|78,16|20|22|20,78,1918,920,0.039078156313,0.078156312625,pass,pass,19
503,253009,4|40|54|72,4|36|14|18,72,1940,934,0.03578528827,0.071570576541,pass,pass,23
509,259081,18|40|42|70,18|22|2|28,70,1966,948,0.034381139489,0.068762278978,pass,pass,29
521,271441,10|22|30|42,10|12|8|12,42,2042,1000,0.020153550864,0.040307101727,pass,pass,11
523,273529,22|40|72|84,22|18|32|12,84,2008,962,0.040152963671,0.080305927342,pass,pass,13
541,292681,12|22|28|30,12|10|6|2,30,2134,1052,0.013863216266,0.027726432532,pass,pass,1
547,299209,4|30|52|72,4|26|22|20,72,2116,1022,0.032906764168,0.065813528336,pass,pass,7
557,310249,24|34|42|64,24|10|8|22,64,2164,1050,0.028725314183,0.057450628366,pass,pass,17
563,316969,22|34|42|52,22|12|8|10,52,2200,1074,0.023090586146,0.046181172291,pass,pass,23
569,323761,6|28|36|40,6|22|8|4,40,2236,1098,0.017574692443,0.035149384886,pass,pass,29
571,326041,16|22|42|46,16|6|20|4,46,2238,1096,0.020140105079,0.040280210158,pass,pass,1
577,332929,4|18|22|58,4|14|4|36,58,2250,1096,0.025129982669,0.050259965338,pass,pass,7
587,344569,18|30|42|52,18|12|12|10,52,2296,1122,0.022146507666,0.044293015332,pass,pass,17
593,351649,4|12|18|42,4|8|6|24,42,2330,1144,0.017706576728,0.035413153457,pass,pass,23
599,358801,10|28|46|58,10|18|18|12,58,2338,1140,0.024207011686,0.048414023372,pass,pass,29
601,361201,10|12|16|18,10|2|4|2,18,2386,1184,0.007487520799,0.014975041597,pass,pass,1
607,368449,4|22|42|58,4|18|20|16,58,2370,1156,0.023887973641,0.047775947282,pass,pass,7
613,375769,4|10|18|30,4|6|8|12,30,2422,1196,0.012234910277,0.024469820555,pass,pass,13
617,380689,18|24|40|64,18|6|16|24,64,2404,1170,0.025931928687,0.051863857374,pass,pass,17
619,383161,10|18|58|60,10|8|40|2,60,2416,1178,0.024232633279,0.048465266559,pass,pass,19
631,398161,10|46|52|58,10|36|6|6,58,2466,1204,0.022979397781,0.045958795563,pass,pass,1
641,410881,18|22|48|72,18|4|26|24,72,2492,1210,0.028081123245,0.05616224649,pass,pass,11
643,413449,12|28|72|78,12|16|44|6,78,2494,1208,0.03032659409,0.06065318818,pass,pass,13
647,418609,22|24|28|48,22|2|4|20,48,2540,1246,0.018547140649,0.037094281298,pass,pass,17
653,426409,12|18|60|78,12|6|42|18,78,2534,1228,0.029862174579,0.059724349158,pass,pass,23
659,434281,12|16|22|30,12|4|6|8,30,2606,1288,0.011380880121,0.022761760243,pass,pass,29
661,436921,36|42|46|52,36|6|4|6,52,2592,1270,0.019667170953,0.039334341906,pass,pass,1
673,452929,24|28|54|60,24|4|26|6,60,2632,1286,0.022288261516,0.044576523031,pass,pass,13
677,458329,4|28|34|48,4|24|6|14,48,2660,1306,0.017725258493,0.035450516987,pass,pass,17
683,466489,28|48|58|64,28|20|10|6,64,2668,1302,0.023426061493,0.046852122987,pass,pass,23
691,477481,16|30|36|42,16|14|6|6,42,2722,1340,0.01519536903,0.030390738061,pass,pass,1
701,491401,16|22|28|60,16|6|6|32,60,2744,1342,0.021398002853,0.042796005706,pass,pass,11
709,502681,6|18|22|36,6|12|4|14,36,2800,1382,0.01269393512,0.02538787024,pass,pass,19
719,516961,12|16|18|30,12|4|2|12,30,2846,1408,0.010431154381,0.020862308762,pass,pass,29
727,528529,30|82|94|100,30|52|12|6,100,2808,1354,0.034387895461,0.068775790922,pass,pass,7
733,537289,18|42|54|58,18|24|12|4,58,2874,1408,0.019781718963,0.039563437926,pass,pass,13
739,546121,16|28|30|52,16|12|2|22,52,2904,1426,0.017591339648,0.035182679296,pass,pass,19
743,552049,4|10|40|42,4|6|30|2,42,2930,1444,0.014131897712,0.028263795424,pass,pass,23
751,564001,12|16|40|48,12|4|24|8,48,2956,1454,0.015978695073,0.031957390146,pass,pass,1
757,573049,52|58|60|70,52|6|2|10,70,2958,1444,0.023117569353,0.046235138705,pass,pass,7
761,579121,12|58|76|78,12|46|18|2,78,2966,1444,0.025624178712,0.051248357424,pass,pass,11
769,591361,16|30|42|46,16|14|12|4,46,3030,1492,0.014954486346,0.029908972692,pass,pass,19
