scale,q,q_mod30,candidate,candidate_mod30,status,endpoint_class,tau_candidate,endpoint_family,factor_signature,false_exclusion,unresolved_composite,least_factor,cofactor,first_remainder_family,second_factor,second_remainder,second_remainder_family,third_factor,third_remainder,third_remainder_family,grammar_terminal,terminal_family,grammar_accounted
10000000,9942539,29,9942541,1,excluded,composite_obstruction,20,multi_prime_family,7^4*41*101,False,False,7,1420363,multi_prime_family,7,202909,multi_prime_family,7,28987,multi_prime_family,,multi_prime_family,False
10000000,9930191,11,9930193,13,excluded,composite_obstruction,32,multi_prime_family,7^3*13*17*131,False,False,7,1418599,multi_prime_family,7,202657,multi_prime_family,7,28951,multi_prime_family,,multi_prime_family,False
10000000,9911669,29,9911671,1,excluded,composite_obstruction,32,multi_prime_family,7^3*11*37*71,False,False,7,1415953,multi_prime_family,7,202279,multi_prime_family,7,28897,multi_prime_family,,multi_prime_family,False
10000000,9860219,29,9860221,1,excluded,composite_obstruction,32,multi_prime_family,7^3*17*19*89,False,False,7,1408603,multi_prime_family,7,201229,multi_prime_family,7,28747,multi_prime_family,,multi_prime_family,False
100000000,99990329,29,99990331,1,excluded,composite_obstruction,32,multi_prime_family,7^3*19*67*229,False,False,7,14284333,multi_prime_family,7,2040619,multi_prime_family,7,291517,multi_prime_family,,multi_prime_family,False
100000000,99968867,17,99968869,19,excluded,composite_obstruction,36,multi_prime_family,7^2*11^2*13*1297,False,False,7,14281267,multi_prime_family,7,2040181,multi_prime_family,11,185471,multi_prime_family,,multi_prime_family,False
100000000,99949169,29,99949171,1,excluded,composite_obstruction,32,multi_prime_family,7^3*17*61*281,False,False,7,14278453,multi_prime_family,7,2039779,multi_prime_family,7,291397,multi_prime_family,,multi_prime_family,False
100000000,99936821,11,99936823,13,excluded,composite_obstruction,20,multi_prime_family,7^4*107*389,False,False,7,14276689,multi_prime_family,7,2039527,multi_prime_family,7,291361,multi_prime_family,,multi_prime_family,False
100000000,99875081,11,99875083,13,excluded,composite_obstruction,32,multi_prime_family,7^3*11*103*257,False,False,7,14267869,multi_prime_family,7,2038267,multi_prime_family,7,291181,multi_prime_family,,multi_prime_family,False
100000000,99861851,11,99861853,13,excluded,composite_obstruction,48,multi_prime_family,7^2*13*19*37*223,False,False,7,14265979,multi_prime_family,7,2037997,multi_prime_family,13,156769,multi_prime_family,,multi_prime_family,False
100000000,99830729,29,99830731,1,excluded,composite_obstruction,64,multi_prime_family,7*11*13*19*29*181,False,False,7,14261533,multi_prime_family,11,1296503,multi_prime_family,13,99731,multi_prime_family,,multi_prime_family,False
100000000,99829217,17,99829219,19,excluded,composite_obstruction,48,multi_prime_family,7^2*17*37*41*79,False,False,7,14261317,multi_prime_family,7,2037331,multi_prime_family,17,119843,multi_prime_family,,multi_prime_family,False
100000000,99817859,29,99817861,1,excluded,composite_obstruction,48,multi_prime_family,11^2*13*23*31*89,False,False,11,9074351,multi_prime_family,11,824941,multi_prime_family,13,63457,multi_prime_family,,multi_prime_family,False
100000000,99805991,11,99805993,13,excluded,composite_obstruction,48,multi_prime_family,7^2*19*23*59*79,False,False,7,14257999,multi_prime_family,7,2036857,multi_prime_family,19,107203,multi_prime_family,,multi_prime_family,False
1000000000,999996149,29,999996151,1,excluded,composite_obstruction,48,multi_prime_family,7*11^2*17*37*1877,False,False,7,142856593,multi_prime_family,11,12986963,multi_prime_family,11,1180633,multi_prime_family,,multi_prime_family,False
1000000000,999992537,17,999992539,19,excluded,composite_obstruction,48,multi_prime_family,7^2*13*47*127*263,False,False,7,142856077,multi_prime_family,7,20408011,multi_prime_family,13,1569847,multi_prime_family,,multi_prime_family,False
1000000000,999991067,17,999991069,19,excluded,composite_obstruction,36,multi_prime_family,7^2*11^2*227*743,False,False,7,142855867,multi_prime_family,7,20407981,multi_prime_family,11,1855271,multi_prime_family,,multi_prime_family,False
