scale,eligible_anchor_count,prime_closure_count,endpoint_obstruction_count,low_scale_grammar_accounted_obstruction_count,next_layer_count,false_exclusion_count,unresolved_composite_count,low_scale_grammar_coverage_rate,audit_status,grammar_disposition
1000000,4096,1064,3032,3032,0,0,0,1.0,PASS,CLOSED
10000000,4096,862,3234,3230,4,0,0,0.9987631416202845,PASS,NEXT_LAYER_FOUND
100000000,4096,804,3292,3282,10,0,0,0.996962332928311,PASS,NEXT_LAYER_FOUND
1000000000,4096,718,3378,3365,13,0,0,0.9961515689757253,PASS,NEXT_LAYER_FOUND
10000000000,4096,609,3487,3468,19,0,0,0.9945511901347863,PASS,NEXT_LAYER_FOUND
100000000000,4096,559,3537,3495,42,0,0,0.9881255301102629,PASS,NEXT_LAYER_FOUND
1000000000000,4096,537,3559,3508,51,0,0,0.9856701320595673,PASS,NEXT_LAYER_FOUND
10000000000000,4096,501,3595,3517,78,0,0,0.9783031988873435,PASS,NEXT_LAYER_FOUND
100000000000000,4096,425,3671,3575,96,0,0,0.9738490874421138,PASS,NEXT_LAYER_FOUND
1000000000000000,4096,427,3669,3558,111,0,0,0.9697465249386754,PASS,NEXT_LAYER_FOUND
10000000000000000,4096,415,3681,3555,126,0,0,0.9657701711491442,PASS,NEXT_LAYER_FOUND
100000000000000000,4096,376,3720,3572,148,0,0,0.9602150537634409,PASS,NEXT_LAYER_FOUND
1000000000000000000,4096,329,3767,3613,154,0,0,0.9591186620653039,PASS,NEXT_LAYER_FOUND
