rung_min_exponent,rung_max_exponent,exponent,exponent_divisor_count,exponent_status,number_family,left_prime_rule_id,candidate_bound,candidate_seconds_limit,candidate_checks,rejected_candidate_offsets_before_left_prime,unresolved_reason,unresolved_candidate_offset,power_of_two,mersenne_number,distance_to_left_prime,mersenne_location_inferred,left_prime
2,31,2,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,4,3,1,True,3
2,31,3,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,8,7,1,True,7
2,31,4,3,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
2,31,5,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,32,31,1,True,31
2,31,6,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
2,31,7,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,128,127,1,True,127
2,31,8,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
2,31,9,3,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
2,31,10,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
2,31,11,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,3,1;7,,,2048,2047,9,False,2039
2,31,12,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
2,31,13,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,8192,8191,1,True,8191
2,31,14,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
2,31,15,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
2,31,16,5,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
2,31,17,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,131072,131071,1,True,131071
2,31,18,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
2,31,19,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,524288,524287,1,True,524287
2,31,20,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
2,31,21,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
