role,p,q,carrier,carrier_tau,carrier_signature,carrier_factors,competitor,competitor_tau,competitor_signature,competitor_factors,sigma_carrier_num,sigma_carrier_den,sigma_competitor_num,sigma_competitor_den,phi_carrier_num,phi_carrier_den,phi_competitor_num,phi_competitor_den,same_tau4_witness_exists
phi,544399,544403,544402,4,semiprime,2*272201,544401,40,exponents_4_1_1_1,3^4*11*13*47,816606,544402,975744,544401,272200,544402,298080,544401,False
phi,604339,604343,604342,4,semiprime,2*302171,604341,14,exponents_6_1,3^6*829,906516,604342,907190,604341,302170,604342,402408,604341,False
phi,652237,652241,652238,4,semiprime,2*326119,652239,48,exponents_3_2_1_1,3^3*7^2*17*29,978360,652238,1231200,652239,326118,652238,338688,652239,False
phi,703123,703127,703126,4,semiprime,2*351563,703125,24,exponents_7_2,3^2*5^7,1054692,703126,1269528,703125,351562,703126,375000,703125,False
phi,824497,824501,824498,4,semiprime,2*412249,824499,32,exponents_7_1_1,3^7*13*29,1236750,824498,1377600,824499,412248,824498,489888,824499,False
sigma,827899,827903,827902,4,semiprime,2*413951,827901,12,exponents_5_1,3^5*3407,1241856,827902,1240512,827901,413950,827902,551772,827901,False
sigma,963481,963491,963485,4,semiprime,5*192697,963487,12,exponents_3_2,7^3*53^2,1156188,963485,1145200,963487,770784,963485,810264,963487,False
phi,987793,987797,987794,4,semiprime,2*493897,987795,28,exponents_6_1_1,3^6*5*271,1481694,987794,1783776,987795,493896,987794,524880,987795,False
phi,1038823,1038827,1038826,4,semiprime,2*519413,1038825,48,exponents_7_2_1,3^7*5^2*19,1558242,1038826,2033600,1038825,519412,1038826,524880,1038825,False
sigma,1062343,1062349,1062346,4,semiprime,2*531173,1062347,32,exponents_1_1_1_1_1,11*13*17*19*23,1593522,1062346,1451520,1062347,531172,1062346,760320,1062347,False
phi,1372957,1372961,1372958,4,semiprime,2*686479,1372959,48,exponents_2_1_1_1_1,3^2*7*19*31*37,2059440,1372958,2529280,1372959,686478,1372958,699840,1372959,False
sigma,1440253,1440259,1440254,4,semiprime,2*720127,1440257,32,exponents_3_1_1_1,7^3*13*17*19,2160384,1440254,2016000,1440257,720126,1440254,1016064,1440257,False
phi,1449979,1449983,1449982,4,semiprime,2*724991,1449981,36,exponents_8_1_1,3^8*13*17,2174976,1449982,2479932,1449981,724990,1449982,839808,1449981,False
sigma,1464461,1464467,1464466,4,semiprime,2*732233,1464463,36,exponents_2_2_1_1,7^2*11^2*13*19,2196702,1464466,2122680,1464463,732232,1464466,997920,1464463,False
phi,1865023,1865027,1865026,4,semiprime,2*932513,1865025,36,exponents_5_2_1,3^5*5^2*307,2797542,1865026,3475472,1865025,932512,1865026,991440,1865025,False
